iter	Passed	Remaining
289	7988	5784
290	8012	5754
291	8037	5725
292	8062	5695
293	8088	5667
294	8113	5638
295	8142	5612
296	8165	5581
297	8203	5561
298	8232	5534
299	8254	5502
300	8281	5474
301	8306	5445
302	8329	5415
303	8354	5386
304	8385	5361
305	8412	5333
306	8438	5305
307	8464	5276
308	8489	5247
309	8513	5218
310	8537	5188
311	8583	5172
312	8614	5146
313	8650	5124
314	8674	5094
315	8700	5065
316	8724	5036
317	8749	5007
318	8776	4979
319	10473	5891
320	10530	5872
321	10581	5849
322	11088	6076
323	11171	6068
324	11221	6042
325	11264	6012
326	11378	6019
327	11408	5982
328	11436	5944
329	11469	5908
330	11514	5878
331	11543	5841
332	11572	5803
333	11600	5765
334	11629	5727
335	11655	5688
336	11680	5649
337	11702	5608
338	11723	5567
339	11747	5528
340	11773	5489
341	11798	5450
342	11822	5411
343	11853	5375
344	11889	5341
345	11921	5305
346	11947	5267
347	11975	5230
348	11998	5191
349	12023	5153
350	12047	5114
351	12074	5076
352	12099	5038
353	12125	5000
354	12151	4963
355	12194	4932
356	12227	4897
357	12251	4859
358	12279	4822
359	12331	4795
360	12369	4762
361	12398	4726
362	12427	4690
363	12456	4654
364	12488	4618
365	12533	4588
366	12562	4552
367	12589	4515
368	12615	4478
369	12641	4441
370	12668	4404
371	12691	4367
372	12716	4329
373	12741	4292
374	12767	4255
375	12791	4218
376	12822	4183
377	12849	4147
378	12876	4110
379	12902	4074
380	12926	4037
381	12948	3999
382	12967	3961
383	12987	3923
384	13013	3887
385	13036	3850
386	13065	3814
387	13091	3779
388	13117	3742
389	13142	3706
390	13168	3671
391	13199	3636
392	13224	3600
393	13250	3564
394	13286	3531
395	13322	3498
396	13349	3463
397	13387	3431
398	13418	3396
399	13469	3367
400	13496	3332
401	13535	3299
402	13566	3265
403	13593	3230
404	13619	3194
405	13642	3158
406	13668	3123
407	13692	3087
408	13717	3051
409	13741	3016
410	13767	2981
411	13793	2946
412	13819	2911
413	13844	2875
414	13870	2840
415	13894	2805
416	13919	2770
417	13945	2735
418	13970	2700
419	13995	2665
420	14021	2631
421	14047	2596
422	14072	2561
423	14096	2526
424	14125	2492
425	14146	2457
426	14173	2423
427	14204	2389
428	14229	2354
429	14255	2320
430	14280	2286
431	14316	2253
432	14343	2219
433	14372	2185
434	14405	2152
435	14438	2119
436	14470	2086
437	14492	2051
438	14521	2017
439	14584	1988
440	14621	1956
441	14643	1921
442	14669	1887
443	14695	1853
444	14733	1821
445	14771	1788
446	14808	1755
447	14835	1721
448	14862	1688
449	14886	1654
450	14913	1620
451	14937	1586
452	14964	1552
453	14989	1518
454	15014	1484
455	15040	1451
456	15065	1417
457	15091	1383
458	15118	1350
459	15148	1317
460	15185	1284
461	15218	1251
462	15250	1218
463	15282	1185
464	15323	1153
465	15352	1120
466	15384	1087
467	15417	1054
468	15448	1021
469	15499	989
470	15620	961
471	15647	928
472	15678	894
473	15701	861
474	15722	827
475	15748	794
476	15777	760
477	15805	727
478	15831	694
479	15857	660
480	15879	627
481	15908	594
482	15934	560
483	15959	527
484	15983	494
485	16009	461
486	16033	427
487	16060	394
488	16085	361
489	16111	328
490	16135	295
491	16164	262
492	16195	229
493	16220	197
494	16249	164
495	16284	131
496	16336	98
497	16363	65
498	16392	32
499	16421	0
