iter	MultiClass
298	0.8451996622
299	0.8446694079
300	0.8440980767
301	0.8436887021
302	0.8433494819
303	0.8428621918
304	0.8424725078
305	0.8418290727
306	0.8413392487
307	0.8409383224
308	0.840640201
309	0.8399894584
310	0.8395399482
311	0.8392039032
312	0.8385892909
313	0.8378904794
314	0.8372346077
315	0.83681876
316	0.8362906447
317	0.836006845
318	0.8357280034
319	0.8350396838
320	0.834337395
321	0.8339055554
322	0.8330352115
323	0.8323302666
324	0.8317588028
325	0.8310713497
326	0.8307091237
327	0.829948641
328	0.8293807196
329	0.8288677104
330	0.8282005304
331	0.8276712118
332	0.8273117861
333	0.8268142023
334	0.826122298
335	0.8257117447
336	0.8254754493
337	0.8248688378
338	0.8244399362
339	0.8236476767
340	0.8231215669
341	0.8222828308
342	0.8218653178
343	0.8211816747
344	0.8208964756
345	0.8201678658
346	0.8194304991
347	0.8190157491
348	0.8184569991
349	0.8179840809
350	0.8173306239
351	0.8167652046
352	0.8159809021
353	0.8155665433
354	0.8149807482
355	0.814540822
356	0.814081778
357	0.8136460299
358	0.8131006765
359	0.8125392375
360	0.8120549791
361	0.8116437828
362	0.8111700159
363	0.8106622486
364	0.8102470864
365	0.8098116076
366	0.8094641808
367	0.8089534829
368	0.8084998179
369	0.8081043204
370	0.8072975578
371	0.8068239208
372	0.8060541407
373	0.805218295
374	0.8048595486
375	0.8043783915
376	0.8038643105
377	0.8030949082
378	0.8022806216
379	0.8014669898
380	0.8009668022
381	0.8005506394
382	0.7997019049
383	0.799187077
384	0.7986997827
385	0.7981325624
386	0.7977542136
387	0.7969571402
388	0.7963286273
389	0.7957810162
390	0.795199067
391	0.7949172254
392	0.7945907441
393	0.7942670627
394	0.7936563965
395	0.7928818294
396	0.7924656239
397	0.7918850775
398	0.7913400473
399	0.7907489623
400	0.7903307528
401	0.7897551223
402	0.7893535106
403	0.7887816507
404	0.7883330242
405	0.7876205014
406	0.7870094192
407	0.7868169665
408	0.7860832746
409	0.7857022912
410	0.7851879783
411	0.7845938182
412	0.7841405317
413	0.7838475784
414	0.7835525049
415	0.783201581
416	0.7829692434
417	0.7822711885
418	0.7818257247
419	0.7813950204
420	0.7807464689
421	0.7803719319
422	0.7800374904
423	0.7795422195
424	0.7789889515
425	0.7784353128
426	0.7780473528
427	0.777810481
428	0.7772096165
429	0.7765098838
430	0.7762476369
431	0.775735186
432	0.7755363123
433	0.7749795811
434	0.7743237724
435	0.7737013314
436	0.7732334096
437	0.772868375
438	0.7722998215
439	0.7716113708
440	0.770848051
441	0.7704104959
442	0.769955372
443	0.7693447617
444	0.7687651309
445	0.7685807578
446	0.7680072159
447	0.7676298006
448	0.7669213168
449	0.7664528094
450	0.7657861247
451	0.765443745
452	0.7650183721
453	0.7642393463
454	0.7637626075
455	0.7633525929
456	0.763014594
457	0.7624648801
458	0.761923012
459	0.7613872788
460	0.760669228
461	0.7601478778
462	0.7597866527
463	0.7591941246
464	0.7585302114
465	0.7581089605
466	0.7578536797
467	0.7573502209
468	0.7568595394
469	0.7563019386
470	0.7557399063
471	0.755417782
472	0.7548645889
473	0.7544288007
474	0.754057339
475	0.7532361325
476	0.7526138528
477	0.7519767366
478	0.7513556387
479	0.7508734841
480	0.7503253088
481	0.7497323338
482	0.7493794458
483	0.7490221826
484	0.7485899944
485	0.7481854701
486	0.7478321818
487	0.7475440268
488	0.7471307395
489	0.7468741569
490	0.7462772006
491	0.7457305191
492	0.7453912947
493	0.7451919811
494	0.7445233834
495	0.7440818096
496	0.7433999401
497	0.7431816105
498	0.7428801564
499	0.7424686303
