date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2020-09-19 16:00:00,Fiorentina,Torino,1,0,H,2.35462,0.617878,SerieA,2021
2020-09-19 18:45:00,Verona,Roma,0,0,D,0.910773,1.77959,SerieA,2021
2020-09-20 10:30:00,Parma Calcio 1913,Napoli,0,2,A,0.160985,1.54079,SerieA,2021
2020-09-20 13:00:00,Genoa,Crotone,4,1,H,2.23283,1.32278,SerieA,2021
2020-09-20 16:00:00,Sassuolo,Cagliari,1,1,D,2.0285,0.95973,SerieA,2021
2020-09-20 18:45:00,Juventus,Sampdoria,3,0,H,2.14288,0.606523,SerieA,2021
2020-09-21 18:45:00,AC Milan,Bologna,2,0,H,2.94224,0.825483,SerieA,2021
2020-09-26 13:00:00,Torino,Atalanta,2,4,A,0.773914,2.47087,SerieA,2021
2020-09-26 16:00:00,Cagliari,Lazio,0,2,A,0.91566,1.99417,SerieA,2021
2020-09-26 16:00:00,Sampdoria,Benevento,2,3,A,1.36058,1.27481,SerieA,2021
2020-09-26 18:45:00,Inter,Fiorentina,4,3,H,1.69563,2.25332,SerieA,2021
2020-09-27 10:30:00,Spezia,Sassuolo,1,4,A,1.29116,2.6497,SerieA,2021
2020-09-27 13:00:00,Verona,Udinese,1,0,H,1.35384,2.14756,SerieA,2021
2020-09-27 16:00:00,Napoli,Genoa,6,0,H,2.34102,0.265594,SerieA,2021
2020-09-27 16:00:00,Crotone,AC Milan,0,2,A,0.107055,2.43073,SerieA,2021
2020-09-27 18:45:00,Roma,Juventus,2,2,D,2.81817,1.90728,SerieA,2021
2020-09-28 18:45:00,Bologna,Parma Calcio 1913,4,1,H,2.04715,1.2448,SerieA,2021
2020-09-30 16:00:00,Benevento,Inter,2,5,A,1.2507,4.53244,SerieA,2021
2020-09-30 16:00:00,Udinese,Spezia,0,2,A,1.86648,0.812849,SerieA,2021
2020-09-30 18:45:00,Lazio,Atalanta,1,4,A,1.80375,1.89667,SerieA,2021
2020-10-02 18:45:00,Fiorentina,Sampdoria,1,2,A,2.02799,2.18148,SerieA,2021
2020-10-03 13:00:00,Sassuolo,Crotone,4,1,H,1.85563,1.5945,SerieA,2021
2020-10-03 18:45:00,Udinese,Roma,0,1,A,1.66689,0.762958,SerieA,2021
2020-10-04 10:30:00,Atalanta,Cagliari,5,2,H,3.60777,0.655559,SerieA,2021
2020-10-04 13:00:00,Benevento,Bologna,1,0,H,0.8907,1.82239,SerieA,2021
