date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2017-08-19 17:00:00,Juventus,Cagliari,3,0,H,1.27155,1.39829,SerieA,1718
2017-08-19 19:45:00,Verona,Napoli,1,3,A,1.39528,2.62234,SerieA,1718
2017-08-20 17:00:00,Atalanta,Roma,0,1,A,1.48324,0.362356,SerieA,1718
2017-08-20 19:45:00,Bologna,Torino,1,1,D,0.568427,0.314472,SerieA,1718
2017-08-20 19:45:00,Inter,Fiorentina,3,0,H,2.71454,0.411971,SerieA,1718
2017-08-20 19:45:00,Lazio,SPAL 2013,0,0,D,0.757926,0.625722,SerieA,1718
2017-08-20 19:45:00,Sampdoria,Benevento,2,1,H,2.84573,1.05409,SerieA,1718
2017-08-20 19:45:00,Sassuolo,Genoa,0,0,D,0.448836,0.973373,SerieA,1718
2017-08-20 19:45:00,Udinese,Chievo,1,2,A,0.725552,0.422866,SerieA,1718
2017-08-20 19:45:00,Crotone,AC Milan,0,3,A,0.302867,2.0921,SerieA,1718
2017-08-26 17:00:00,Genoa,Juventus,2,4,A,1.21323,2.13228,SerieA,1718
2017-08-26 17:00:00,Benevento,Bologna,0,1,A,0.798588,1.79492,SerieA,1718
2017-08-26 19:45:00,Roma,Inter,1,3,A,1.34009,2.45224,SerieA,1718
2017-08-27 17:00:00,Torino,Sassuolo,3,0,H,1.24379,0.823815,SerieA,1718
2017-08-27 19:45:00,SPAL 2013,Udinese,3,2,H,1.63964,1.11091,SerieA,1718
2017-08-27 19:45:00,AC Milan,Cagliari,2,1,H,1.42114,0.559323,SerieA,1718
2017-08-27 19:45:00,Napoli,Atalanta,3,1,H,1.1536,0.633447,SerieA,1718
2017-08-27 19:45:00,Chievo,Lazio,1,2,A,0.772094,1.36642,SerieA,1718
2017-08-27 19:45:00,Crotone,Verona,0,0,D,0.74833,0.227079,SerieA,1718
2017-08-27 19:45:00,Fiorentina,Sampdoria,1,2,A,1.86088,2.14547,SerieA,1718
2017-09-09 17:00:00,Juventus,Chievo,3,0,H,1.25158,0.910665,SerieA,1718
2017-09-10 11:30:00,Inter,SPAL 2013,2,0,H,2.08048,0.375089,SerieA,1718
2017-09-10 14:00:00,Atalanta,Sassuolo,2,1,H,0.614603,1.28796,SerieA,1718
2017-09-10 14:00:00,Cagliari,Crotone,1,0,H,1.22886,0.316314,SerieA,1718
2017-09-10 14:00:00,Verona,Fiorentina,0,5,A,0.953786,2.89134,SerieA,1718
2017-09-10 14:00:00,Udinese,Genoa,1,0,H,1.48614,0.52818,SerieA,1718
2017-09-10 15:00:00,Lazio,AC Milan,4,1,H,2.35955,1.20558,SerieA,1718
2017-09-10 17:00:00,Benevento,Torino,0,1,A,1.20053,0.999531,SerieA,1718
2017-09-10 19:45:00,Bologna,Napoli,0,3,A,0.242533,1.64648,SerieA,1718
2017-09-16 14:00:00,Crotone,Inter,0,2,A,1.01223,0.736631,SerieA,1718
2017-09-16 17:00:00,Fiorentina,Bologna,2,1,H,0.580446,0.305501,SerieA,1718
2017-09-16 19:45:00,Roma,Verona,3,0,H,3.67224,0.197492,SerieA,1718
2017-09-17 11:30:00,Sassuolo,Juventus,1,3,A,1.87483,1.07552,SerieA,1718
