Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
I1,28/09/2019,17:00,Sampdoria,Inter,1,3,A,0,2,A,15,11,2,7,7,5,11,13,2,4,0,1
I1,28/09/2019,19:45,Sassuolo,Atalanta,1,4,A,0,4,A,9,10,7,8,7,3,14,14,2,2,0,0
I1,29/09/2019,11:30,Napoli,Brescia,2,1,H,2,0,H,16,7,7,3,7,7,11,8,2,1,0,0
I1,29/09/2019,14:00,Lazio,Genoa,4,0,H,2,0,H,13,12,11,6,5,7,8,11,1,2,0,0
I1,29/09/2019,14:00,Lecce,Roma,0,1,A,0,0,D,10,13,6,6,4,11,7,19,2,4,0,0
I1,29/09/2019,14:00,Udinese,Bologna,1,0,H,1,0,H,9,10,4,4,4,5,20,16,4,3,0,1
I1,29/09/2019,17:00,Cagliari,Verona,1,1,D,1,0,H,10,11,5,5,3,5,18,18,2,2,0,0
I1,29/09/2019,19:45,Milan,Fiorentina,1,3,A,0,1,A,7,13,3,8,4,6,10,14,2,4,1,0
I1,30/09/2019,19:45,Parma,Torino,3,2,H,2,2,D,13,6,7,5,7,3,17,15,2,3,0,1
I1,05/10/2019,14:00,Spal,Parma,1,0,H,1,0,H,12,5,7,2,5,8,9,13,5,2,1,0
I1,05/10/2019,17:00,Verona,Sampdoria,2,0,H,1,0,H,6,9,4,3,9,4,14,14,1,3,0,0
I1,05/10/2019,19:45,Genoa,Milan,1,2,A,1,0,H,11,9,6,7,7,0,23,14,4,4,2,2
I1,06/10/2019,11:30,Fiorentina,Udinese,1,0,H,0,0,D,8,5,4,1,12,3,9,11,1,2,0,0
I1,06/10/2019,14:00,Atalanta,Lecce,3,1,H,2,0,H,26,5,14,2,9,5,15,14,2,3,0,0
I1,06/10/2019,14:00,Bologna,Lazio,2,2,D,2,2,D,17,8,10,6,5,4,13,17,5,4,1,1
I1,06/10/2019,14:00,Roma,Cagliari,1,1,D,1,1,D,17,6,8,3,7,1,17,11,1,4,0,0
I1,06/10/2019,17:00,Torino,Napoli,0,0,D,0,0,D,11,10,6,3,4,5,11,12,1,2,0,0
I1,06/10/2019,19:45,Inter,Juventus,1,2,A,1,1,D,6,8,4,6,7,2,22,8,2,3,0,0
I1,19/10/2019,14:00,Lazio,Atalanta,3,3,D,0,3,A,12,18,5,9,3,1,13,12,5,2,0,0
I1,19/10/2019,17:00,Napoli,Verona,2,0,H,1,0,H,13,14,7,6,6,8,12,16,3,3,0,0
I1,19/10/2019,19:45,Juventus,Bologna,2,1,H,1,1,D,13,7,11,4,8,5,15,18,2,3,0,0
I1,20/10/2019,11:30,Sassuolo,Inter,3,4,A,1,3,A,7,10,4,7,5,7,14,17,4,3,0,0
I1,20/10/2019,14:00,Cagliari,Spal,2,0,H,1,0,H,13,8,7,5,6,6,16,15,4,5,0,0
I1,20/10/2019,14:00,Sampdoria,Roma,0,0,D,0,0,D,7,5,2,1,7,9,14,11,3,4,0,1
I1,20/10/2019,14:00,Udinese,Torino,1,0,H,1,0,H,10,8,6,5,6,4,15,20,3,3,0,0
I1,20/10/2019,17:00,Parma,Genoa,5,1,H,3,0,H,15,11,7,6,3,7,9,12,1,2,0,0
I1,20/10/2019,19:45,Milan,Lecce,2,2,D,1,0,H,18,11,8,7,8,2,13,12,1,2,0,0
I1,21/10/2019,19:45,Brescia,Fiorentina,0,0,D,0,0,D,3,10,1,6,6,9,10,16,0,3,0,0
I1,25/10/2019,19:45,Verona,Sassuolo,0,1,A,0,0,D,7,9,5,5,9,6,18,13,5,5,0,0
I1,26/10/2019,14:00,Lecce,Juventus,1,1,D,0,0,D,9,16,5,6,3,14,11,13,4,1,0,0
I1,26/10/2019,17:00,Inter,Parma,2,2,D,1,2,A,16,10,7,5,11,4,9,11,3,2,0,0
I1,26/10/2019,19:45,Genoa,Brescia,3,1,H,0,1,A,12,4,11,2,5,3,24,14,6,4,0,0
I1,27/10/2019,11:30,Bologna,Sampdoria,2,1,H,0,0,D,10,5,6,3,11,5,14,18,1,3,0,0
I1,27/10/2019,14:00,Atalanta,Udinese,7,1,H,3,1,H,23,6,16,3,6,2,10,5,2,3,0,1
I1,27/10/2019,14:00,Spal,Napoli,1,1,D,1,1,D,5,9,3,4,4,4,16,14,4,1,0,0
I1,27/10/2019,14:00,Torino,Cagliari,1,1,D,0,1,A,8,10,5,5,6,11,15,11,2,3,0,0
I1,27/10/2019,17:00,Roma,Milan,2,1,H,1,0,H,10,8,5,4,4,8,12,17,4,5,0,0
I1,27/10/2019,19:45,Fiorentina,Lazio,1,2,A,1,1,D,9,11,3,8,7,3,12,13,5,3,1,0
I1,29/10/2019,18:00,Parma,Verona,0,1,A,0,1,A,15,6,7,2,12,3,13,16,1,5,0,0
I1,29/10/2019,20:00,Brescia,Inter,1,2,A,0,1,A,6,6,5,2,9,8,14,18,4,3,0,0
I1,30/10/2019,18:00,Napoli,Atalanta,2,2,D,1,1,D,15,12,11,6,2,3,16,14,3,3,0,0
I1,30/10/2019,20:00,Cagliari,Bologna,3,2,H,0,1,A,12,6,5,3,4,1,15,20,2,1,0,0
I1,30/10/2019,20:00,Juventus,Genoa,2,1,H,1,1,D,18,7,11,3,10,2,24,11,5,3,1,2
I1,30/10/2019,20:00,Lazio,Torino,4,0,H,2,0,H,16,6,8,3,8,0,11,9,2,2,0,1
I1,30/10/2019,20:00,Sampdoria,Lecce,1,1,D,0,1,A,15,9,6,4,9,5,19,14,4,4,0,1
I1,30/10/2019,20:00,Sassuolo,Fiorentina,1,2,A,1,0,H,6,10,5,8,3,7,15,20,3,4,0,0
I1,30/10/2019,20:00,Udinese,Roma,0,4,A,0,1,A,8,10,5,6,5,3,16,16,4,2,0,1
I1,31/10/2019,20:00,Milan,Spal,1,0,H,0,0,D,10,5,6,2,7,6,17,21,4,4,0,0
I1,02/11/2019,14:00,Roma,Napoli,2,1,H,1,0,H,13,12,7,6,10,4,23,14,5,3,1,0
I1,02/11/2019,17:00,Bologna,Inter,1,2,A,0,0,D,8,11,3,9,2,7,12,24,3,4,0,0
I1,02/11/2019,19:45,Torino,Juventus,0,1,A,0,0,D,7,14,4,10,11,6,22,16,4,2,0,0
I1,03/11/2019,11:30,Atalanta,Cagliari,0,2,A,0,1,A,11,12,3,8,13,2,15,18,2,3,1,0
I1,03/11/2019,14:00,Genoa,Udinese,1,3,A,1,1,D,10,13,2,5,8,5,11,13,0,2,0,0
I1,03/11/2019,14:00,Lecce,Sassuolo,2,2,D,2,1,H,7,12,4,5,6,6,14,16,2,3,0,0
I1,03/11/2019,14:00,Verona,Brescia,2,1,H,0,0,D,11,11,6,5,5,1,17,17,1,4,0,1
I1,03/11/2019,17:00,Fiorentina,Parma,1,1,D,0,1,A,15,7,4,3,5,2,15,20,2,2,0,0
I1,03/11/2019,19:45,Milan,Lazio,1,2,A,1,1,D,9,8,4,7,8,4,12,13,3,5,0,0
I1,04/11/2019,19:45,Spal,Sampdoria,0,1,A,0,0,D,7,9,2,4,8,5,12,16,3,1,0,0
I1,08/11/2019,19:45,Sassuolo,Bologna,3,1,H,1,0,H,13,9,8,7,4,4,16,17,2,6,0,0
I1,09/11/2019,14:00,Brescia,Torino,0,4,A,0,2,A,5,12,3,7,4,4,18,17,5,3,1,0
I1,09/11/2019,17:00,Inter,Verona,2,1,H,0,1,A,19,5,13,2,9,3,14,11,3,1,0,0
I1,09/11/2019,19:45,Napoli,Genoa,0,0,D,0,0,D,13,8,8,3,5,2,15,19,1,4,0,0
I1,10/11/2019,11:30,Cagliari,Fiorentina,5,2,H,3,0,H,12,10,8,7,5,6,12,15,1,3,0,0
I1,10/11/2019,14:00,Lazio,Lecce,4,2,H,1,1,D,17,18,7,10,9,3,8,10,2,3,0,0
I1,10/11/2019,14:00,Sampdoria,Atalanta,0,0,D,0,0,D,5,7,2,3,1,7,19,13,2,4,0,1
I1,10/11/2019,14:00,Udinese,Spal,0,0,D,0,0,D,11,10,4,4,3,7,14,14,3,5,0,0
I1,10/11/2019,17:00,Parma,Roma,2,0,H,0,0,D,13,10,8,7,5,10,16,9,3,2,0,0
I1,10/11/2019,19:45,Juventus,Milan,1,0,H,0,0,D,11,10,5,7,5,5,13,10,1,5,0,0
I1,23/11/2019,14:00,Atalanta,Juventus,1,3,A,0,0,D,14,11,9,5,8,3,17,13,5,3,0,0
I1,23/11/2019,17:00,Milan,Napoli,1,1,D,1,1,D,11,12,4,6,3,4,19,15,3,2,0,0
I1,23/11/2019,19:45,Torino,Inter,0,3,A,0,2,A,5,6,2,5,12,4,10,18,2,3,0,0
I1,24/11/2019,11:30,Bologna,Parma,2,2,D,1,1,D,11,11,7,7,15,2,18,18,1,3,0,0
I1,24/11/2019,14:00,Roma,Brescia,3,0,H,0,0,D,14,5,6,2,17,6,17,10,1,1,0,0
I1,24/11/2019,14:00,Sassuolo,Lazio,1,2,A,1,1,D,5,10,2,6,5,8,14,14,1,3,0,0
I1,24/11/2019,14:00,Verona,Fiorentina,1,0,H,0,0,D,13,7,8,2,8,6,18,8,3,2,0,0
I1,24/11/2019,17:00,Sampdoria,Udinese,2,1,H,1,1,D,19,5,13,2,8,2,8,22,2,3,0,1
I1,25/11/2019,14:00,Lecce,Cagliari,2,2,D,0,1,A,17,6,8,2,11,2,13,19,2,2,1,2
I1,25/11/2019,19:45,Spal,Genoa,1,1,D,0,0,D,13,13,7,6,5,4,12,13,2,1,0,0
I1,30/11/2019,14:00,Brescia,Atalanta,0,3,A,0,1,A,9,19,5,12,2,11,15,15,1,3,0,0
I1,30/11/2019,17:00,Genoa,Torino,0,1,A,0,0,D,5,10,3,3,6,4,15,18,2,3,0,1
I1,30/11/2019,19:45,Fiorentina,Lecce,0,1,A,0,0,D,13,6,6,6,9,2,13,21,1,3,0,0
I1,01/12/2019,11:30,Juventus,Sassuolo,2,2,D,1,1,D,17,8,9,4,9,2,11,13,1,5,0,0
I1,01/12/2019,14:00,Inter,Spal,2,1,H,2,0,H,16,8,10,3,8,0,15,17,1,4,0,0
I1,01/12/2019,14:00,Lazio,Udinese,3,0,H,3,0,H,15,4,6,0,2,2,9,12,0,1,0,0
I1,01/12/2019,14:00,Parma,Milan,0,1,A,0,0,D,6,19,0,8,1,7,13,15,1,3,0,0
I1,01/12/2019,17:00,Napoli,Bologna,1,2,A,1,0,H,20,9,5,6,7,0,12,10,1,5,0,0
I1,01/12/2019,19:45,Verona,Roma,1,3,A,1,2,A,7,12,3,5,6,5,11,14,3,3,0,0
I1,02/12/2019,19:45,Cagliari,Sampdoria,4,3,H,0,1,A,12,9,8,5,6,4,15,12,3,1,0,0
I1,06/12/2019,19:45,Inter,Roma,0,0,D,0,0,D,9,6,2,2,8,3,12,11,3,1,0,0
I1,07/12/2019,14:00,Atalanta,Verona,3,2,H,1,1,D,21,7,10,2,13,4,14,16,1,5,0,1
I1,07/12/2019,17:00,Udinese,Napoli,1,1,D,1,0,H,5,12,1,3,3,10,20,15,3,4,0,1
I1,07/12/2019,19:45,Lazio,Juventus,3,1,H,1,1,D,12,8,8,5,4,5,14,10,4,3,0,1
I1,08/12/2019,11:30,Lecce,Genoa,2,2,D,0,2,A,22,14,5,4,11,3,17,18,5,6,0,2
I1,08/12/2019,14:00,Sassuolo,Cagliari,2,2,D,2,0,H,9,4,3,3,8,4,10,19,3,4,0,0
I1,08/12/2019,14:00,Spal,Brescia,0,1,A,0,0,D,18,12,4,7,3,1,17,18,3,3,0,0
I1,08/12/2019,14:00,Torino,Fiorentina,2,1,H,1,0,H,10,15,5,5,3,9,19,17,4,3,0,0
I1,08/12/2019,17:00,Sampdoria,Parma,0,1,A,0,1,A,18,10,6,2,3,2,15,12,3,2,0,0
I1,08/12/2019,19:45,Bologna,Milan,2,3,A,1,2,A,11,11,4,7,5,1,17,19,4,2,0,0
I1,14/12/2019,14:00,Brescia,Lecce,3,0,H,2,0,H,13,11,9,4,4,6,17,26,4,6,0,0
I1,14/12/2019,17:00,Napoli,Parma,1,2,A,0,1,A,22,7,9,5,11,1,9,12,2,2,0,0
I1,14/12/2019,19:45,Genoa,Sampdoria,0,1,A,0,0,D,5,2,1,1,4,2,16,26,5,3,0,0
I1,15/12/2019,11:30,Verona,Torino,3,3,D,0,1,A,12,12,8,8,6,3,20,19,3,1,0,0
I1,15/12/2019,14:00,Bologna,Atalanta,2,1,H,1,0,H,8,15,5,7,4,4,14,18,5,1,1,0
I1,15/12/2019,14:00,Juventus,Udinese,3,1,H,3,0,H,14,9,12,7,9,8,10,4,2,1,0,0
I1,15/12/2019,14:00,Milan,Sassuolo,0,0,D,0,0,D,17,10,12,6,8,3,14,16,5,4,0,0
I1,15/12/2019,17:00,Roma,Spal,3,1,H,0,1,A,18,5,13,3,8,3,10,17,1,3,0,0
I1,15/12/2019,19:45,Fiorentina,Inter,1,1,D,0,1,A,10,7,5,5,5,1,15,17,3,4,0,0
I1,16/12/2019,19:45,Cagliari,Lazio,1,2,A,1,0,H,9,13,4,7,2,9,11,11,4,3,0,0
I1,18/12/2019,17:55,Sampdoria,Juventus,1,2,A,1,2,A,13,10,4,4,5,5,7,17,5,2,1,0
I1,18/12/2019,19:45,Brescia,Sassuolo,0,2,A,0,1,A,15,11,6,6,4,4,16,17,2,3,0,0
I1,20/12/2019,19:45,Fiorentina,Roma,1,4,A,1,2,A,7,8,4,6,5,4,20,16,4,3,0,0
I1,21/12/2019,14:00,Udinese,Cagliari,2,1,H,1,0,H,9,13,2,2,2,1,13,14,3,4,0,1
I1,21/12/2019,17:00,Inter,Genoa,4,0,H,2,0,H,12,7,9,4,6,3,11,12,1,4,0,0
I1,21/12/2019,19:45,Torino,Spal,1,2,A,1,1,D,7,7,6,4,10,3,24,16,5,5,1,0
I1,22/12/2019,11:30,Atalanta,Milan,5,0,H,1,0,H,14,4,12,1,5,2,7,12,2,4,0,0
I1,22/12/2019,14:00,Lecce,Bologna,2,3,A,0,1,A,7,19,3,16,6,2,17,18,3,3,0,0
I1,22/12/2019,14:00,Parma,Brescia,1,1,D,0,0,D,13,11,6,4,9,5,16,10,3,2,0,0
I1,22/12/2019,19:45,Sassuolo,Napoli,1,2,A,1,0,H,12,14,5,11,7,11,16,13,2,2,0,0
