date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2019-08-24 17:00:00,Parma Calcio 1913,Juventus,0,1,A,0.264026,1.88829,SerieA,1920
2019-08-24 19:45:00,Fiorentina,Napoli,3,4,A,1.94205,1.94511,SerieA,1920
2019-08-25 17:00:00,Udinese,AC Milan,1,0,H,0.777545,0.633654,SerieA,1920
2019-08-25 19:45:00,Verona,Bologna,1,1,D,0.109745,2.11,SerieA,1920
2019-08-25 19:45:00,Roma,Genoa,3,3,D,2.6256,1.1259,SerieA,1920
2019-08-25 19:45:00,Sampdoria,Lazio,0,3,A,0.627446,1.54375,SerieA,1920
2019-08-25 19:45:00,SPAL 2013,Atalanta,2,3,A,1.48495,1.70129,SerieA,1920
2019-08-25 19:45:00,Torino,Sassuolo,2,1,H,1.87227,1.35208,SerieA,1920
2019-08-25 19:45:00,Cagliari,Brescia,0,1,A,0.998907,1.32688,SerieA,1920
2019-08-26 19:45:00,Inter,Lecce,4,0,H,2.14366,0.408768,SerieA,1920
2019-08-30 19:45:00,Bologna,SPAL 2013,1,0,H,3.76497,0.850525,SerieA,1920
2019-08-31 17:00:00,AC Milan,Brescia,1,0,H,1.9308,0.860645,SerieA,1920
2019-08-31 18:45:00,Juventus,Napoli,4,3,H,2.0077,1.58762,SerieA,1920
2019-09-01 17:00:00,Lazio,Roma,1,1,D,2.07207,1.19504,SerieA,1920
2019-09-01 19:45:00,Lecce,Verona,0,1,A,0.994717,1.824,SerieA,1920
2019-09-01 19:45:00,Atalanta,Torino,2,3,A,1.83194,0.684714,SerieA,1920
2019-09-01 19:45:00,Cagliari,Inter,1,2,A,0.479896,1.77917,SerieA,1920
2019-09-01 19:45:00,Genoa,Fiorentina,2,1,H,2.41153,1.80442,SerieA,1920
2019-09-01 19:45:00,Sassuolo,Sampdoria,4,1,H,2.66279,1.24293,SerieA,1920
2019-09-01 19:45:00,Udinese,Parma Calcio 1913,1,3,A,1.69727,1.21449,SerieA,1920
2019-09-14 13:00:00,Fiorentina,Juventus,0,0,D,1.47787,0.324648,SerieA,1920
2019-09-14 16:00:00,Napoli,Sampdoria,2,0,H,1.72924,1.69786,SerieA,1920
2019-09-14 18:45:00,Inter,Udinese,1,0,H,1.56746,0.250925,SerieA,1920
2019-09-15 10:30:00,Genoa,Atalanta,1,2,A,1.35423,2.43373,SerieA,1920
2019-09-15 13:00:00,Brescia,Bologna,3,4,A,1.14311,3.68503,SerieA,1920
2019-09-15 13:00:00,Parma Calcio 1913,Cagliari,1,3,A,1.33287,0.684256,SerieA,1920
2019-09-15 13:00:00,SPAL 2013,Lazio,2,1,H,1.10476,1.46024,SerieA,1920
2019-09-15 16:00:00,Roma,Sassuolo,4,2,H,2.96035,0.84997,SerieA,1920
2019-09-15 18:45:00,Verona,AC Milan,0,1,A,0.465316,1.47177,SerieA,1920
2019-09-16 18:45:00,Torino,Lecce,1,2,A,1.5512,1.25479,SerieA,1920
2019-09-20 18:45:00,Cagliari,Genoa,3,1,H,1.24675,1.61461,SerieA,1920
2019-09-21 13:00:00,Udinese,Brescia,0,1,A,0.505205,0.810849,SerieA,1920
2019-09-21 16:00:00,Juventus,Verona,2,1,H,1.86372,1.8415,SerieA,1920
2019-09-21 18:45:00,AC Milan,Inter,0,2,A,1.09144,2.49224,SerieA,1920
2019-09-22 10:30:00,Sassuolo,SPAL 2013,3,0,H,2.01353,0.923321,SerieA,1920
2019-09-22 13:00:00,Bologna,Roma,1,2,A,1.34513,1.45512,SerieA,1920
2019-09-22 13:00:00,Lecce,Napoli,1,4,A,1.37591,3.0665,SerieA,1920
2019-09-22 13:00:00,Sampdoria,Torino,1,0,H,1.8371,0.216688,SerieA,1920
2019-09-22 16:00:00,Atalanta,Fiorentina,2,2,D,1.44964,1.40952,SerieA,1920
2019-09-22 18:45:00,Lazio,Parma Calcio 1913,2,0,H,2.00279,0.504659,SerieA,1920
2019-09-24 17:00:00,Verona,Udinese,0,0,D,0.973188,0.814274,SerieA,1920
2019-09-24 19:00:00,Brescia,Juventus,1,2,A,0.686153,1.88191,SerieA,1920
2019-09-25 17:00:00,Roma,Atalanta,0,2,A,2.21614,2.23314,SerieA,1920
2019-09-25 19:00:00,Fiorentina,Sampdoria,2,1,H,1.94827,0.642879,SerieA,1920
2019-09-25 19:00:00,Genoa,Bologna,0,0,D,0.213674,1.58656,SerieA,1920
2019-09-25 19:00:00,Inter,Lazio,1,0,H,1.74169,1.3648,SerieA,1920
2019-09-25 19:00:00,Napoli,Cagliari,0,1,A,1.89418,0.534885,SerieA,1920
2019-09-25 19:00:00,Parma Calcio 1913,Sassuolo,1,0,H,1.50602,0.505463,SerieA,1920
2019-09-25 19:00:00,SPAL 2013,Lecce,1,3,A,0.924939,1.89438,SerieA,1920
2019-09-26 19:00:00,Torino,AC Milan,2,1,H,1.0873,2.29514,SerieA,1920
2019-09-28 13:00:00,Juventus,SPAL 2013,2,0,H,2.36566,0.160279,SerieA,1920
2019-09-28 16:00:00,Sampdoria,Inter,1,3,A,1.31073,2.16553,SerieA,1920
2019-09-28 18:45:00,Sassuolo,Atalanta,1,4,A,0.442236,2.42758,SerieA,1920
2019-09-29 10:30:00,Napoli,Brescia,2,1,H,2.50124,1.14541,SerieA,1920
2019-09-29 13:00:00,Lazio,Genoa,4,0,H,1.61693,1.0028,SerieA,1920
2019-09-29 13:00:00,Lecce,Roma,0,1,A,0.793718,2.99876,SerieA,1920
2019-09-29 13:00:00,Udinese,Bologna,1,0,H,0.838641,0.759433,SerieA,1920
2019-09-29 16:00:00,Cagliari,Verona,1,1,D,2.14031,2.19656,SerieA,1920
2019-09-29 18:45:00,AC Milan,Fiorentina,1,3,A,0.593975,3.00943,SerieA,1920
2019-09-30 18:45:00,Parma Calcio 1913,Torino,3,2,H,3.27038,1.69923,SerieA,1920
2019-10-05 14:00:00,SPAL 2013,Parma Calcio 1913,1,0,H,1.30807,0.238942,SerieA,1920
2019-10-05 17:00:00,Verona,Sampdoria,2,0,H,0.667382,0.727876,SerieA,1920
2019-10-05 19:45:00,Genoa,AC Milan,1,2,A,1.65802,1.20462,SerieA,1920
2019-10-06 11:30:00,Fiorentina,Udinese,1,0,H,1.15966,0.77254,SerieA,1920
2019-10-06 14:00:00,Atalanta,Lecce,3,1,H,4.39219,0.999184,SerieA,1920
2019-10-06 14:00:00,Bologna,Lazio,2,2,D,3.37988,1.59819,SerieA,1920
2019-10-06 14:00:00,Roma,Cagliari,1,1,D,1.4212,1.03338,SerieA,1920
2019-10-06 17:00:00,Torino,Napoli,0,0,D,0.48114,0.840858,SerieA,1920
2019-10-06 19:45:00,Inter,Juventus,1,2,A,1.53885,1.22127,SerieA,1920
2019-10-19 14:00:00,Lazio,Atalanta,3,3,D,2.70407,2.56796,SerieA,1920
2019-10-19 17:00:00,Napoli,Verona,2,0,H,2.28168,1.73959,SerieA,1920
2019-10-19 19:45:00,Juventus,Bologna,2,1,H,1.85733,0.959285,SerieA,1920
2019-10-20 11:30:00,Sassuolo,Inter,3,4,A,0.885577,3.04913,SerieA,1920
2019-10-20 14:00:00,Cagliari,SPAL 2013,2,0,H,1.14716,0.917756,SerieA,1920
2019-10-20 14:00:00,Sampdoria,Roma,0,0,D,0.628013,0.443611,SerieA,1920
2019-10-20 14:00:00,Udinese,Torino,1,0,H,1.87593,0.603538,SerieA,1920
2019-10-20 17:00:00,Parma Calcio 1913,Genoa,5,1,H,2.5989,1.89911,SerieA,1920
2019-10-20 19:45:00,AC Milan,Lecce,2,2,D,1.7835,1.29111,SerieA,1920
2019-10-21 20:00:00,Brescia,Fiorentina,0,0,D,0.543738,0.82628,SerieA,1920
2019-10-25 19:45:00,Verona,Sassuolo,0,1,A,0.782917,1.05439,SerieA,1920
2019-10-26 14:00:00,Lecce,Juventus,1,1,D,1.05543,3.57172,SerieA,1920
2019-10-26 17:00:00,Inter,Parma Calcio 1913,2,2,D,2.41687,0.950313,SerieA,1920
2019-10-26 19:45:00,Genoa,Brescia,3,1,H,1.12256,1.16628,SerieA,1920
2019-10-27 11:30:00,Bologna,Sampdoria,2,1,H,2.25191,0.507876,SerieA,1920
2019-10-27 14:00:00,Atalanta,Udinese,7,1,H,5.83297,0.477769,SerieA,1920
2019-10-27 14:00:00,SPAL 2013,Napoli,1,1,D,0.470344,0.898916,SerieA,1920
2019-10-27 14:00:00,Torino,Cagliari,1,1,D,1.30837,0.509454,SerieA,1920
2019-10-27 17:00:00,Roma,AC Milan,2,1,H,1.66688,0.545215,SerieA,1920
2019-10-27 19:45:00,Fiorentina,Lazio,1,2,A,0.563956,2.00858,SerieA,1920
2019-10-29 18:00:00,Parma Calcio 1913,Verona,0,1,A,1.17096,0.372338,SerieA,1920
2019-10-29 20:00:00,Brescia,Inter,1,2,A,1.63039,0.769551,SerieA,1920
2019-10-30 18:00:00,Napoli,Atalanta,2,2,D,3.19908,1.33873,SerieA,1920
2019-10-30 20:00:00,Cagliari,Bologna,3,2,H,1.35196,1.18024,SerieA,1920
2019-10-30 20:00:00,Juventus,Genoa,2,1,H,2.65664,0.269772,SerieA,1920
2019-10-30 20:00:00,Lazio,Torino,4,0,H,2.29976,0.706344,SerieA,1920
2019-10-30 20:00:00,Sampdoria,Lecce,1,1,D,1.64236,1.06001,SerieA,1920
2019-10-30 20:00:00,Sassuolo,Fiorentina,1,2,A,0.958797,1.15444,SerieA,1920
2019-10-30 20:00:00,Udinese,Roma,0,4,A,0.557164,3.28214,SerieA,1920
2019-10-31 20:00:00,AC Milan,SPAL 2013,1,0,H,1.90677,0.335973,SerieA,1920
2019-11-02 14:00:00,Roma,Napoli,2,1,H,2.21085,1.6515,SerieA,1920
2019-11-02 17:00:00,Bologna,Inter,1,2,A,0.380245,2.09958,SerieA,1920
2019-11-02 19:45:00,Torino,Juventus,0,1,A,0.35915,1.78754,SerieA,1920
2019-11-03 11:30:00,Atalanta,Cagliari,0,2,A,0.75623,1.10665,SerieA,1920
2019-11-03 14:00:00,Genoa,Udinese,1,3,A,1.48183,1.39908,SerieA,1920
2019-11-03 14:00:00,Verona,Brescia,2,1,H,1.14031,0.975463,SerieA,1920
2019-11-03 14:00:00,Lecce,Sassuolo,2,2,D,0.483324,2.17105,SerieA,1920
2019-11-03 17:00:00,Fiorentina,Parma Calcio 1913,1,1,D,1.36867,0.703957,SerieA,1920
2019-11-03 19:45:00,AC Milan,Lazio,1,2,A,0.717705,1.11258,SerieA,1920
2019-11-04 19:45:00,SPAL 2013,Sampdoria,0,1,A,0.501251,0.857291,SerieA,1920
2019-11-08 19:45:00,Sassuolo,Bologna,3,1,H,2.6891,0.541844,SerieA,1920
2019-11-09 14:00:00,Brescia,Torino,0,4,A,0.59465,3.11135,SerieA,1920
2019-11-09 17:00:00,Inter,Verona,2,1,H,2.24655,1.27413,SerieA,1920
2019-11-09 19:45:00,Napoli,Genoa,0,0,D,0.883505,1.23282,SerieA,1920
2019-11-10 11:30:00,Cagliari,Fiorentina,5,2,H,3.21493,0.869022,SerieA,1920
2019-11-10 14:00:00,Lazio,Lecce,4,2,H,3.65287,2.55559,SerieA,1920
2019-11-10 14:00:00,Sampdoria,Atalanta,0,0,D,0.887813,0.517338,SerieA,1920
2019-11-10 14:00:00,Udinese,SPAL 2013,0,0,D,1.60289,1.95747,SerieA,1920
2019-11-10 17:00:00,Parma Calcio 1913,Roma,2,0,H,1.29826,0.97114,SerieA,1920
2019-11-10 19:45:00,Juventus,AC Milan,1,0,H,1.11956,0.517282,SerieA,1920
2019-11-23 14:00:00,Atalanta,Juventus,1,3,A,2.78945,1.20522,SerieA,1920
2019-11-23 17:00:00,AC Milan,Napoli,1,1,D,0.794979,1.2322,SerieA,1920
2019-11-23 19:45:00,Torino,Inter,0,3,A,0.431759,1.46431,SerieA,1920
2019-11-24 11:30:00,Bologna,Parma Calcio 1913,2,2,D,0.695312,1.29667,SerieA,1920
2019-11-24 14:00:00,Verona,Fiorentina,1,0,H,1.51813,0.844664,SerieA,1920
2019-11-24 14:00:00,Roma,Brescia,3,0,H,2.51584,0.31479,SerieA,1920
2019-11-24 14:00:00,Sassuolo,Lazio,1,2,A,1.37752,0.942458,SerieA,1920
2019-11-24 17:00:00,Sampdoria,Udinese,2,1,H,2.13455,0.281611,SerieA,1920
2019-11-25 15:00:00,Lecce,Cagliari,2,2,D,4.09277,0.959475,SerieA,1920
2019-11-25 19:45:00,SPAL 2013,Genoa,1,1,D,2.44472,1.71849,SerieA,1920
2019-11-30 14:00:00,Brescia,Atalanta,0,3,A,1.2071,2.66863,SerieA,1920
2019-11-30 17:00:00,Genoa,Torino,0,1,A,0.925599,0.657203,SerieA,1920
2019-11-30 19:45:00,Fiorentina,Lecce,0,1,A,1.43717,1.11878,SerieA,1920
2019-12-01 11:30:00,Juventus,Sassuolo,2,2,D,4.34699,0.69873,SerieA,1920
