Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
15/08/2025,18:00,Girona,Vallecano,1,3,A,0,3,A,7,16,2,5,2,4,8,17,0,1,1,0
15/08/2025,20:30,Villarreal,Oviedo,2,0,H,2,0,H,25,5,10,4,10,1,10,8,1,2,0,1
16/08/2025,18:30,Mallorca,Barcelona,0,3,A,0,2,A,4,24,1,8,3,6,8,17,4,1,2,0
16/08/2025,20:30,Alaves,Levante,2,1,H,1,0,H,15,7,4,3,10,1,15,13,0,1,0,0
16/08/2025,20:30,Valencia,Sociedad,1,1,D,0,0,D,18,13,2,3,8,7,5,11,1,2,0,0
17/08/2025,16:00,Celta,Getafe,0,2,A,0,0,D,11,10,3,3,9,3,15,17,3,2,0,0
17/08/2025,18:30,Ath Bilbao,Sevilla,3,2,H,2,0,H,14,12,3,6,10,1,8,12,0,2,0,0
17/08/2025,20:30,Espanol,Ath Madrid,2,1,H,0,1,A,10,15,5,4,1,3,14,11,3,3,0,0
18/08/2025,20:00,Elche,Betis,1,1,D,0,1,A,6,12,2,4,1,3,14,13,0,1,0,0
19/08/2025,20:00,Real Madrid,Osasuna,1,0,H,0,0,D,18,2,5,0,7,0,10,12,1,0,0,1
22/08/2025,20:30,Betis,Alaves,1,0,H,1,0,H,16,11,5,5,5,2,10,17,2,3,0,0
23/08/2025,16:00,Mallorca,Celta,1,1,D,0,1,A,12,8,4,2,3,4,12,12,3,3,0,0
23/08/2025,18:30,Ath Madrid,Elche,1,1,D,1,1,D,13,6,6,2,10,2,14,7,0,3,0,0
23/08/2025,20:30,Levante,Barcelona,2,3,A,2,0,H,8,26,5,10,0,11,10,8,3,1,0,0
24/08/2025,16:00,Osasuna,Valencia,1,0,H,1,0,H,16,4,4,1,3,4,14,13,2,1,0,1
24/08/2025,18:30,Sociedad,Espanol,2,2,D,0,2,A,15,14,7,3,5,2,16,18,2,2,0,0
24/08/2025,18:30,Villarreal,Girona,5,0,H,4,0,H,19,5,7,2,8,1,8,9,1,2,0,0
24/08/2025,20:30,Oviedo,Real Madrid,0,3,A,0,1,A,6,26,3,10,1,9,8,7,2,1,0,0
25/08/2025,18:30,Ath Bilbao,Vallecano,1,0,H,0,0,D,11,6,4,1,3,6,13,13,0,4,0,0
25/08/2025,20:30,Sevilla,Getafe,1,2,A,1,1,D,12,9,3,6,5,3,10,24,2,2,0,0
27/08/2025,20:00,Celta,Betis,1,1,D,0,1,A,14,7,5,2,10,4,13,11,1,2,0,0
29/08/2025,18:30,Elche,Levante,2,0,H,0,0,D,16,11,5,1,4,2,14,17,1,2,0,0
29/08/2025,20:30,Valencia,Getafe,3,0,H,1,0,H,7,11,4,1,8,6,18,7,2,0,0,0
30/08/2025,16:00,Alaves,Ath Madrid,1,1,D,1,1,D,5,15,2,6,1,6,10,17,2,3,0,0
30/08/2025,18:00,Oviedo,Sociedad,1,0,H,1,0,H,8,18,1,6,1,10,7,18,2,1,0,0
30/08/2025,18:30,Girona,Sevilla,0,2,A,0,1,A,20,13,5,4,11,3,5,14,0,2,0,0
30/08/2025,20:30,Real Madrid,Mallorca,2,1,H,2,1,H,17,9,7,5,4,5,12,7,2,0,0,0
31/08/2025,16:00,Celta,Villarreal,1,1,D,0,0,D,10,8,2,3,1,5,11,8,1,1,0,0
31/08/2025,18:00,Betis,Ath Bilbao,1,2,A,0,0,D,9,15,2,6,4,10,9,16,1,4,0,1
31/08/2025,18:30,Espanol,Osasuna,1,0,H,0,0,D,10,10,4,3,2,3,13,14,2,3,0,0
31/08/2025,20:30,Vallecano,Barcelona,1,1,D,0,1,A,12,12,6,3,9,4,16,8,4,1,0,0
12/09/2025,20:00,Sevilla,Elche,2,2,D,1,0,H,7,5,3,2,2,2,23,19,4,3,0,0
