Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
SP1,23/09/17,Ath Madrid,Sevilla,2,0,H,0,0,D,13,11,4,0,7,6,11,17,4,3,0,0
SP1,23/09/17,Girona,Barcelona,0,3,A,0,1,A,13,9,2,5,9,3,21,5,3,0,0,0
SP1,23/09/17,Malaga,Ath Bilbao,3,3,D,1,1,D,15,8,7,7,5,1,16,8,7,2,1,0
SP1,24/09/17,Eibar,Celta,0,4,A,0,3,A,9,10,0,6,4,4,14,5,2,1,0,0
SP1,24/09/17,Espanol,La Coruna,4,1,H,2,0,H,17,21,5,6,4,6,16,7,1,2,0,0
SP1,24/09/17,Getafe,Villarreal,4,0,H,0,0,D,17,6,8,1,7,4,11,16,1,4,0,0
SP1,24/09/17,Las Palmas,Leganes,0,2,A,0,0,D,8,9,3,3,3,2,10,15,1,3,0,0
SP1,24/09/17,Sociedad,Valencia,2,3,A,1,1,D,18,13,6,4,7,6,11,13,3,7,1,1
SP1,25/09/17,Betis,Levante,4,0,H,0,0,D,14,8,6,1,6,3,9,5,1,0,0,0
SP1,29/09/17,Celta,Girona,3,3,D,2,2,D,16,10,9,6,5,6,9,17,2,5,0,0
SP1,30/09/17,La Coruna,Getafe,2,1,H,0,0,D,15,10,9,3,8,5,16,22,6,3,0,0
SP1,30/09/17,Leganes,Ath Madrid,0,0,D,0,0,D,7,11,3,2,2,6,13,13,2,1,0,0
SP1,30/09/17,Levante,Alaves,0,2,A,0,1,A,13,8,0,3,8,4,11,18,2,4,0,0
SP1,30/09/17,Sevilla,Malaga,2,0,H,0,0,D,12,11,5,4,4,6,11,12,2,1,0,0
SP1,01/10/17,Barcelona,Las Palmas,3,0,H,0,0,D,22,10,10,1,8,3,10,11,5,1,0,0
SP1,01/10/17,Real Madrid,Espanol,2,0,H,1,0,H,22,8,8,3,10,3,8,10,2,2,0,0
SP1,01/10/17,Sociedad,Betis,4,4,D,2,2,D,17,10,6,6,12,5,9,18,3,3,0,0
SP1,01/10/17,Valencia,Ath Bilbao,3,2,H,2,0,H,10,16,6,6,2,8,18,16,3,4,0,0
SP1,01/10/17,Villarreal,Eibar,3,0,H,1,0,H,12,8,6,1,6,3,15,9,2,1,0,0
SP1,13/10/17,Espanol,Levante,0,0,D,0,0,D,20,13,6,3,9,4,9,13,2,3,0,0
SP1,14/10/17,Alaves,Sociedad,0,2,A,0,0,D,8,13,0,6,4,9,11,7,1,1,0,0
SP1,14/10/17,Ath Bilbao,Sevilla,1,0,H,1,0,H,15,14,2,6,6,6,18,9,5,5,0,0
SP1,14/10/17,Ath Madrid,Barcelona,1,1,D,1,0,H,5,15,4,7,2,1,12,10,3,2,0,0
SP1,14/10/17,Getafe,Real Madrid,1,2,A,0,1,A,8,16,3,6,4,7,23,8,2,3,0,0
SP1,15/10/17,Betis,Valencia,3,6,A,0,2,A,13,13,6,9,7,5,11,11,1,4,0,0
SP1,15/10/17,Eibar,La Coruna,0,0,D,0,0,D,15,11,6,3,10,1,9,10,2,2,0,0
SP1,15/10/17,Girona,Villarreal,1,2,A,1,2,A,14,5,3,2,8,1,12,20,3,4,0,0
SP1,15/10/17,Malaga,Leganes,0,2,A,0,0,D,13,19,5,9,4,2,21,21,4,3,1,0
SP1,16/10/17,Las Palmas,Celta,2,5,A,0,2,A,24,14,11,7,14,3,13,12,2,1,0,1
SP1,21/10/17,Barcelona,Malaga,2,0,H,1,0,H,12,13,4,5,4,3,10,11,1,4,0,0
SP1,21/10/17,Betis,Alaves,2,0,H,1,0,H,12,7,5,3,6,5,18,9,2,2,0,0
SP1,21/10/17,Levante,Getafe,1,1,D,0,0,D,5,9,1,5,3,2,18,16,1,3,0,0
SP1,21/10/17,Valencia,Sevilla,4,0,H,1,0,H,18,18,8,5,7,10,15,21,2,4,0,0
SP1,22/10/17,Celta,Ath Madrid,0,1,A,0,1,A,19,4,8,2,4,4,13,19,3,5,0,0
SP1,22/10/17,Leganes,Ath Bilbao,1,0,H,0,0,D,15,7,4,1,4,3,16,15,3,4,0,0
SP1,22/10/17,Real Madrid,Eibar,3,0,H,2,0,H,15,9,7,2,5,2,9,7,1,1,0,0
SP1,22/10/17,Villarreal,Las Palmas,4,0,H,0,0,D,25,16,9,5,9,6,14,9,1,5,0,0
SP1,23/10/17,La Coruna,Girona,1,2,A,0,1,A,15,13,6,6,9,7,9,16,3,8,0,0
SP1,23/10/17,Sociedad,Espanol,1,1,D,0,1,A,19,4,5,1,10,1,12,15,4,4,1,0
SP1,28/10/17,Alaves,Valencia,1,2,A,0,1,A,16,7,6,2,6,4,19,18,5,1,0,0
SP1,28/10/17,Ath Bilbao,Barcelona,0,2,A,0,1,A,17,17,5,5,6,4,15,12,1,4,0,0
SP1,28/10/17,Ath Madrid,Villarreal,1,1,D,0,0,D,18,12,6,4,11,6,13,20,0,4,0,0
SP1,28/10/17,Sevilla,Leganes,2,1,H,1,0,H,9,10,5,1,5,6,16,19,0,3,0,0
SP1,29/10/17,Eibar,Levante,2,2,D,0,2,A,16,3,6,2,6,2,8,16,1,3,0,0
SP1,29/10/17,Getafe,Sociedad,2,1,H,0,1,A,10,15,5,4,8,7,19,16,3,2,0,0
SP1,29/10/17,Girona,Real Madrid,2,1,H,0,1,A,15,15,4,6,2,7,21,11,2,1,0,0
SP1,29/10/17,Malaga,Celta,2,1,H,1,0,H,15,10,4,2,4,1,20,12,2,3,0,0
SP1,30/10/17,Espanol,Betis,1,0,H,0,0,D,10,9,4,4,5,3,10,17,2,5,0,0
SP1,30/10/17,Las Palmas,La Coruna,1,3,A,1,1,D,13,15,5,5,8,5,11,15,1,1,0,0
SP1,03/11/17,Betis,Getafe,2,2,D,0,2,A,15,9,4,2,4,6,10,14,2,6,0,0
SP1,04/11/17,Alaves,Espanol,1,0,H,1,0,H,17,9,6,3,3,8,29,9,7,2,0,1
SP1,04/11/17,Barcelona,Sevilla,2,1,H,1,0,H,18,8,6,3,3,3,10,12,1,0,0,0
SP1,04/11/17,La Coruna,Ath Madrid,0,1,A,0,0,D,14,11,1,3,4,4,17,10,4,2,0,0
SP1,04/11/17,Valencia,Leganes,3,0,H,1,0,H,13,13,7,6,4,7,11,13,1,2,0,0
SP1,05/11/17,Celta,Ath Bilbao,3,1,H,3,1,H,11,14,5,5,3,6,13,17,2,3,0,0
SP1,05/11/17,Levante,Girona,1,2,A,0,0,D,7,10,4,5,7,2,10,16,3,4,0,0
SP1,05/11/17,Real Madrid,Las Palmas,3,0,H,1,0,H,27,2,9,1,9,2,9,9,2,1,0,0
SP1,05/11/17,Sociedad,Eibar,3,1,H,2,0,H,10,9,6,5,3,6,10,17,0,3,0,0
SP1,05/11/17,Villarreal,Malaga,2,0,H,0,0,D,14,10,3,2,6,4,18,12,2,4,0,0
SP1,17/11/17,Girona,Sociedad,1,1,D,0,1,A,14,14,4,5,3,6,28,10,4,2,0,0
SP1,18/11/17,Ath Madrid,Real Madrid,0,0,D,0,0,D,7,14,1,3,7,9,21,6,6,2,0,0
SP1,18/11/17,Getafe,Alaves,4,1,H,2,0,H,13,11,8,5,4,5,18,14,3,3,0,0
SP1,18/11/17,Leganes,Barcelona,0,3,A,0,1,A,18,11,7,7,6,3,25,10,1,2,0,0
SP1,18/11/17,Sevilla,Celta,2,1,H,1,1,D,12,11,5,5,1,2,20,17,3,2,0,0
