date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2025-08-15 18:45:00,Rennes,Marseille,1,0,H,1.31418,2.07298,Ligue1,2526
2025-08-16 15:00:00,Lens,Lyon,0,1,A,1.87447,1.615,Ligue1,2526
2025-08-16 17:00:00,Monaco,Le Havre,3,1,H,1.88048,0.427494,Ligue1,2526
2025-08-16 19:05:00,Nice,Toulouse,0,1,A,0.95554,0.56945,Ligue1,2526
2025-08-17 13:00:00,Brest,Lille,3,3,D,1.49573,1.84218,Ligue1,2526
2025-08-17 15:15:00,Auxerre,Lorient,1,0,H,1.4925,1.84516,Ligue1,2526
2025-08-17 15:15:00,Angers,Paris FC,1,0,H,0.82142,0.71125,Ligue1,2526
2025-08-17 15:15:00,Metz,Strasbourg,0,1,A,0.184483,0.731013,Ligue1,2526
2025-08-17 18:45:00,Nantes,Paris Saint Germain,0,1,A,0.124428,1.35682,Ligue1,2526
2025-08-22 18:45:00,Paris Saint Germain,Angers,1,0,H,2.0878,0.176876,Ligue1,2526
2025-08-23 15:00:00,Marseille,Paris FC,5,2,H,3.337,1.05457,Ligue1,2526
2025-08-23 17:00:00,Nice,Auxerre,3,1,H,2.66284,2.24407,Ligue1,2526
2025-08-23 19:05:00,Lyon,Metz,3,0,H,2.35479,0.504863,Ligue1,2526
2025-08-24 13:00:00,Lorient,Rennes,4,0,H,3.4466,0.0728372,Ligue1,2526
2025-08-24 15:15:00,Strasbourg,Nantes,1,0,H,1.81743,0.425423,Ligue1,2526
2025-08-24 15:15:00,Le Havre,Lens,1,2,A,2.0398,1.29098,Ligue1,2526
2025-08-24 15:15:00,Toulouse,Brest,2,0,H,1.32432,0.750148,Ligue1,2526
2025-08-24 18:45:00,Lille,Monaco,1,0,H,2.41091,1.52213,Ligue1,2526
2025-08-29 18:45:00,Lens,Brest,3,1,H,4.42054,0.963409,Ligue1,2526
2025-08-30 15:00:00,Lorient,Lille,1,7,A,1.1603,3.70255,Ligue1,2526
2025-08-30 17:00:00,Nantes,Auxerre,1,0,H,0.418091,1.10996,Ligue1,2526
2025-08-30 19:05:00,Toulouse,Paris Saint Germain,3,6,A,2.33006,2.49609,Ligue1,2526
2025-08-31 13:00:00,Angers,Rennes,1,1,D,1.58619,1.73758,Ligue1,2526
2025-08-31 15:15:00,Le Havre,Nice,3,1,H,1.75553,0.715595,Ligue1,2526
2025-08-31 15:15:00,Paris FC,Metz,3,2,H,3.39898,1.6248,Ligue1,2526
2025-08-31 15:15:00,Monaco,Strasbourg,3,2,H,2.35547,1.7732,Ligue1,2526
2025-08-31 18:45:00,Lyon,Marseille,1,0,H,3.15727,0.896862,Ligue1,2526
2025-09-12 18:45:00,Marseille,Lorient,4,0,H,2.83367,0.187377,Ligue1,2526
2025-09-13 15:00:00,Nice,Nantes,1,0,H,2.34645,0.775945,Ligue1,2526
2025-09-13 19:05:00,Auxerre,Monaco,1,2,A,0.904229,1.62646,Ligue1,2526
2025-09-14 13:00:00,Lille,Toulouse,2,1,H,2.42116,1.15678,Ligue1,2526
2025-09-14 15:15:00,Brest,Paris FC,1,2,A,2.60519,1.85008,Ligue1,2526
2025-09-14 15:15:00,Metz,Angers,1,1,D,1.76271,1.98184,Ligue1,2526
2025-09-14 15:15:00,Paris Saint Germain,Lens,2,0,H,1.05815,1.2242,Ligue1,2526
2025-09-14 15:15:00,Strasbourg,Le Havre,1,0,H,1.43354,0.524832,Ligue1,2526
2025-09-14 18:45:00,Rennes,Lyon,3,1,H,2.20918,1.7381,Ligue1,2526
2025-09-19 18:45:00,Lyon,Angers,1,0,H,2.20483,0.677354,Ligue1,2526
2025-09-20 15:00:00,Nantes,Rennes,2,2,D,2.65629,1.44041,Ligue1,2526
2025-09-20 17:00:00,Brest,Nice,4,1,H,2.07376,2.26393,Ligue1,2526
2025-09-20 19:05:00,Lens,Lille,3,0,H,3.8174,1.89889,Ligue1,2526
2025-09-21 13:00:00,Paris FC,Strasbourg,2,3,A,1.9014,2.46459,Ligue1,2526
2025-09-21 15:15:00,Auxerre,Toulouse,1,0,H,0.883373,1.50957,Ligue1,2526
2025-09-21 15:15:00,Le Havre,Lorient,1,1,D,2.23396,1.26993,Ligue1,2526
2025-09-21 15:15:00,Monaco,Metz,5,2,H,3.497,1.91296,Ligue1,2526
2025-09-22 18:45:00,Marseille,Paris Saint Germain,1,0,H,1.77744,0.919565,Ligue1,2526
2025-09-26 18:45:00,Strasbourg,Marseille,1,2,A,1.0976,2.00258,Ligue1,2526
2025-09-27 15:00:00,Lorient,Monaco,3,1,H,2.09364,0.894035,Ligue1,2526
2025-09-27 17:00:00,Toulouse,Nantes,2,2,D,1.98573,1.8303,Ligue1,2526
2025-09-27 19:05:00,Paris Saint Germain,Auxerre,2,0,H,2.11672,0.73132,Ligue1,2526
2025-09-28 13:00:00,Nice,Paris FC,1,1,D,1.36997,1.49444,Ligue1,2526
2025-09-28 15:15:00,Angers,Brest,0,2,A,0.501827,1.34192,Ligue1,2526
2025-09-28 15:15:00,Lille,Lyon,0,1,A,1.65271,0.642572,Ligue1,2526
2025-09-28 15:15:00,Metz,Le Havre,0,0,D,0.39939,0.395921,Ligue1,2526
2025-09-28 18:45:00,Rennes,Lens,0,0,D,1.57438,1.51932,Ligue1,2526
2025-10-03 18:45:00,Paris FC,Lorient,2,0,H,1.83687,0.855852,Ligue1,2526
2025-10-04 15:00:00,Metz,Marseille,0,3,A,0.1529,2.67719,Ligue1,2526
2025-10-04 17:00:00,Brest,Nantes,0,0,D,1.44552,0.489862,Ligue1,2526
2025-10-04 19:05:00,Auxerre,Lens,1,2,A,1.27422,0.471027,Ligue1,2526
2025-10-05 13:00:00,Lyon,Toulouse,1,2,A,1.42206,1.36525,Ligue1,2526
2025-10-05 15:15:00,Le Havre,Rennes,2,2,D,1.98097,1.21285,Ligue1,2526
