Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
29/09/2024,14:00,Como,Verona,3,2,H,1,0,H,24,6,11,3,9,1,10,19,2,5,0,1
29/09/2024,14:00,Roma,Venezia,2,1,H,0,1,A,22,18,5,7,6,3,8,13,1,2,0,0
29/09/2024,17:00,Empoli,Fiorentina,0,0,D,0,0,D,8,13,1,0,2,4,15,12,0,1,0,0
29/09/2024,19:45,Napoli,Monza,2,0,H,2,0,H,11,5,2,1,1,3,16,8,1,2,0,0
30/09/2024,19:45,Parma,Cagliari,2,3,A,0,1,A,18,11,4,4,5,3,10,16,3,2,0,0
04/10/2024,17:30,Napoli,Como,3,1,H,1,1,D,9,11,6,2,4,1,7,10,1,1,0,0
04/10/2024,19:45,Verona,Venezia,2,1,H,1,1,D,13,11,4,2,13,6,10,7,3,0,0,0
05/10/2024,14:00,Udinese,Lecce,1,0,H,0,0,D,13,9,4,3,5,0,12,16,2,2,0,0
05/10/2024,17:00,Atalanta,Genoa,5,1,H,1,0,H,23,7,8,2,4,2,9,15,0,0,0,0
05/10/2024,19:45,Inter,Torino,3,2,H,2,1,H,29,7,8,5,14,0,6,9,1,2,0,1
06/10/2024,11:30,Juventus,Cagliari,1,1,D,1,0,H,21,9,9,2,8,3,13,10,5,2,1,0
06/10/2024,14:00,Bologna,Parma,0,0,D,0,0,D,19,13,3,2,13,6,15,16,1,0,0,1
06/10/2024,14:00,Lazio,Empoli,2,1,H,1,1,D,16,7,6,2,5,3,10,17,2,4,0,0
06/10/2024,17:00,Monza,Roma,1,1,D,0,0,D,3,15,3,4,1,3,16,13,3,1,0,0
06/10/2024,19:45,Fiorentina,Milan,2,1,H,1,0,H,12,16,3,8,0,7,11,21,2,3,0,1
19/10/2024,14:00,Como,Parma,1,1,D,1,1,D,11,9,3,3,7,4,14,10,1,2,0,0
19/10/2024,14:00,Genoa,Bologna,2,2,D,0,1,A,10,12,4,7,1,7,20,12,2,0,0,0
19/10/2024,17:00,Milan,Udinese,1,0,H,1,0,H,10,13,5,1,8,4,3,14,2,3,1,0
19/10/2024,19:45,Juventus,Lazio,1,0,H,0,0,D,16,2,3,1,7,1,16,9,4,2,0,1
20/10/2024,11:30,Empoli,Napoli,0,1,A,0,0,D,11,9,4,1,7,7,14,13,2,2,0,0
20/10/2024,14:00,Lecce,Fiorentina,0,6,A,0,3,A,5,19,2,11,1,3,8,14,0,5,1,0
20/10/2024,14:00,Venezia,Atalanta,0,2,A,0,1,A,12,16,4,7,2,5,12,6,1,1,0,0
20/10/2024,17:00,Cagliari,Torino,3,2,H,1,1,D,18,17,5,5,9,12,9,8,1,3,0,0
20/10/2024,19:45,Roma,Inter,0,1,A,0,0,D,14,11,3,6,3,3,12,13,2,3,0,0
21/10/2024,19:45,Verona,Monza,0,3,A,0,1,A,16,10,4,4,9,6,8,13,3,2,0,0
25/10/2024,17:30,Udinese,Cagliari,2,0,H,1,0,H,13,3,4,0,2,4,13,9,2,3,0,1
25/10/2024,19:45,Torino,Como,1,0,H,0,0,D,8,20,2,6,1,3,13,12,3,3,0,0
26/10/2024,14:00,Napoli,Lecce,1,0,H,0,0,D,24,11,8,2,16,5,13,7,3,2,0,0
26/10/2024,19:45,Atalanta,Verona,6,1,H,5,1,H,19,4,10,2,4,2,3,15,0,1,0,0
27/10/2024,11:30,Parma,Empoli,1,1,D,0,1,A,17,6,4,2,9,3,12,17,4,5,0,0
27/10/2024,14:00,Lazio,Genoa,3,0,H,1,0,H,18,6,4,2,7,4,12,6,3,1,0,0
27/10/2024,14:00,Monza,Venezia,2,2,D,2,2,D,13,6,2,2,4,3,17,16,4,2,1,0
27/10/2024,17:00,Inter,Juventus,4,4,D,3,2,H,18,10,9,5,13,5,11,16,2,1,0,0
27/10/2024,19:45,Fiorentina,Roma,5,1,H,3,1,H,21,14,10,5,6,2,13,11,2,5,0,1
29/10/2024,17:30,Cagliari,Bologna,0,2,A,0,1,A,14,11,2,4,7,2,17,18,2,2,0,0
29/10/2024,17:30,Lecce,Verona,1,0,H,0,0,D,14,7,6,1,3,4,14,21,1,3,0,2
29/10/2024,19:45,Milan,Napoli,0,2,A,0,2,A,13,9,5,4,5,1,14,6,0,1,0,0
30/10/2024,17:30,Empoli,Inter,0,3,A,0,0,D,6,15,1,5,1,4,12,13,1,1,1,0
30/10/2024,17:30,Venezia,Udinese,3,2,H,1,2,A,18,15,7,5,2,6,9,13,3,4,0,1
30/10/2024,19:45,Atalanta,Monza,2,0,H,0,0,D,16,4,6,3,5,1,14,11,2,3,0,0
30/10/2024,19:45,Juventus,Parma,2,2,D,1,2,A,24,13,6,5,10,6,7,5,2,0,0,0
31/10/2024,17:30,Genoa,Fiorentina,0,1,A,0,0,D,14,12,4,4,4,4,13,10,4,2,0,0
31/10/2024,19:45,Como,Lazio,1,5,A,0,2,A,14,14,2,7,3,5,14,18,2,5,1,1
31/10/2024,19:45,Roma,Torino,1,0,H,1,0,H,10,4,3,2,3,5,11,15,2,2,0,0
02/11/2024,14:00,Bologna,Lecce,1,0,H,0,0,D,20,6,4,0,9,1,9,14,2,2,0,0
02/11/2024,17:00,Udinese,Juventus,0,2,A,0,2,A,11,11,2,5,10,3,12,14,2,2,0,0
02/11/2024,19:45,Monza,Milan,0,1,A,0,1,A,12,18,2,7,3,5,18,15,2,1,0,0
03/11/2024,11:30,Napoli,Atalanta,0,3,A,0,2,A,13,12,3,3,4,3,10,8,1,3,0,0
03/11/2024,14:00,Torino,Fiorentina,0,1,A,0,1,A,9,8,1,3,1,3,16,12,2,1,0,0
03/11/2024,17:00,Verona,Roma,3,2,H,2,1,H,7,14,3,3,2,2,16,11,2,2,1,0
03/11/2024,19:45,Inter,Venezia,1,0,H,0,0,D,20,7,8,2,9,3,14,15,2,1,0,0
04/11/2024,17:30,Empoli,Como,1,0,H,0,0,D,9,12,4,2,3,6,17,9,1,0,0,0
04/11/2024,17:30,Parma,Genoa,0,1,A,0,0,D,13,15,0,7,3,7,5,18,2,5,0,0
04/11/2024,19:45,Lazio,Cagliari,2,1,H,1,1,D,20,6,5,1,2,3,12,17,3,8,0,2
07/11/2024,19:45,Genoa,Como,1,1,D,0,1,A,8,18,4,8,8,5,17,15,4,3,0,0
08/11/2024,19:45,Lecce,Empoli,1,1,D,0,1,A,18,11,3,6,4,3,7,24,0,3,0,0
09/11/2024,14:00,Venezia,Parma,1,2,A,1,1,D,12,10,6,3,6,6,9,10,1,2,0,0
09/11/2024,17:00,Cagliari,Milan,3,3,D,1,2,A,16,13,7,6,6,3,7,11,0,2,0,0
09/11/2024,19:45,Juventus,Torino,2,0,H,1,0,H,13,6,4,1,5,5,7,14,1,3,0,0
10/11/2024,11:30,Atalanta,Udinese,2,1,H,0,1,A,11,11,4,6,4,5,10,12,1,1,0,0
10/11/2024,14:00,Fiorentina,Verona,3,1,H,1,1,D,11,8,6,2,8,3,1,19,1,2,0,0
10/11/2024,14:00,Roma,Bologna,2,3,A,0,1,A,15,15,5,4,4,3,16,21,2,3,0,0
10/11/2024,17:00,Monza,Lazio,0,1,A,0,1,A,12,14,2,6,6,6,13,10,5,1,0,0
10/11/2024,19:45,Inter,Napoli,1,1,D,1,1,D,13,5,4,2,4,2,15,12,2,0,0,0
23/11/2024,14:00,Verona,Inter,0,5,A,0,5,A,9,12,2,7,4,2,14,5,2,1,0,0
23/11/2024,17:00,Milan,Juventus,0,0,D,0,0,D,6,7,1,2,2,4,9,12,3,2,0,0
23/11/2024,19:45,Parma,Atalanta,1,3,A,0,2,A,9,15,3,6,2,5,6,8,0,2,0,0
24/11/2024,11:30,Genoa,Cagliari,2,2,D,1,1,D,20,17,6,6,6,8,11,7,2,2,0,0
24/11/2024,14:00,Como,Fiorentina,0,2,A,0,1,A,10,8,4,4,3,4,11,15,2,1,1,0
24/11/2024,14:00,Torino,Monza,1,1,D,0,0,D,12,9,5,6,7,3,17,13,1,2,0,0
24/11/2024,17:00,Napoli,Roma,1,0,H,0,0,D,14,6,2,1,8,2,8,9,0,3,0,0
24/11/2024,19:45,Lazio,Bologna,3,0,H,0,0,D,13,3,4,1,3,0,14,14,3,3,0,1
25/11/2024,17:30,Empoli,Udinese,1,1,D,1,0,H,4,16,2,3,1,8,8,13,3,2,0,0
25/11/2024,19:45,Venezia,Lecce,0,1,A,0,0,D,16,7,6,2,6,2,12,16,1,3,0,0
29/11/2024,19:45,Cagliari,Verona,1,0,H,0,0,D,19,11,6,2,7,1,10,12,1,2,0,0
30/11/2024,14:00,Como,Monza,1,1,D,1,0,H,17,9,3,3,11,4,16,11,3,0,0,0
30/11/2024,17:00,Milan,Empoli,3,0,H,2,0,H,20,9,4,0,7,3,12,16,2,2,0,0
30/11/2024,19:45,Bologna,Venezia,3,0,H,1,0,H,16,5,9,1,1,0,14,15,0,2,0,0
01/12/2024,11:30,Udinese,Genoa,0,2,A,0,1,A,4,15,2,5,6,4,13,11,2,3,1,0
01/12/2024,14:00,Parma,Lazio,3,1,H,1,0,H,12,23,4,8,4,10,17,13,4,3,0,0
01/12/2024,14:00,Torino,Napoli,0,1,A,0,1,A,5,16,1,6,4,7,15,9,4,1,0,0
01/12/2024,19:45,Lecce,Juventus,1,1,D,0,0,D,10,14,6,3,2,7,8,9,1,4,0,0
02/12/2024,19:45,Roma,Atalanta,0,2,A,0,0,D,5,18,1,7,2,4,17,13,2,3,0,0
06/12/2024,17:30,Inter,Parma,3,1,H,1,0,H,18,5,5,2,10,1,8,3,1,1,0,0
06/12/2024,19:45,Atalanta,Milan,2,1,H,1,1,D,17,6,8,2,7,0,14,13,2,0,0,0
07/12/2024,14:00,Genoa,Torino,0,0,D,0,0,D,5,10,1,3,4,4,12,15,2,1,0,0
07/12/2024,17:00,Juventus,Bologna,2,2,D,0,1,A,10,10,3,4,1,4,18,14,3,4,0,0
07/12/2024,19:45,Roma,Lecce,4,1,H,1,1,D,23,3,9,1,8,1,5,14,2,3,0,0
08/12/2024,11:30,Fiorentina,Cagliari,1,0,H,1,0,H,8,8,3,1,6,4,9,20,3,2,0,0
08/12/2024,14:00,Verona,Empoli,1,4,A,1,4,A,12,15,3,5,5,8,15,16,2,2,0,0
08/12/2024,17:00,Venezia,Como,2,2,D,1,0,H,8,10,4,4,5,9,12,10,1,1,0,0
08/12/2024,19:45,Napoli,Lazio,0,1,A,0,0,D,12,7,1,3,6,2,16,12,2,3,0,0
09/12/2024,19:45,Monza,Udinese,1,2,A,0,1,A,27,10,4,3,10,1,12,16,1,2,0,0
13/12/2024,19:45,Empoli,Torino,0,1,A,0,0,D,10,14,4,4,12,3,7,15,2,3,0,0
14/12/2024,14:00,Cagliari,Atalanta,0,1,A,0,0,D,12,12,8,2,2,5,16,10,3,3,0,0
14/12/2024,17:00,Udinese,Napoli,1,3,A,1,0,H,7,17,3,4,3,9,14,8,1,1,0,0
14/12/2024,19:45,Juventus,Venezia,2,2,D,1,0,H,12,8,4,2,7,4,9,8,1,3,0,0
15/12/2024,11:30,Lecce,Monza,2,1,H,2,1,H,11,10,4,1,2,7,15,16,1,5,0,0
15/12/2024,14:00,Bologna,Fiorentina,1,0,H,0,0,D,16,10,6,4,1,3,16,10,2,2,0,0
15/12/2024,14:00,Parma,Verona,2,3,A,1,1,D,19,17,8,6,5,2,5,16,1,3,0,0
15/12/2024,17:00,Como,Roma,2,0,H,0,0,D,18,6,7,1,6,5,18,17,6,1,0,0
15/12/2024,19:45,Milan,Genoa,0,0,D,0,0,D,22,5,4,0,9,2,11,12,0,2,0,0
16/12/2024,19:45,Lazio,Inter,0,6,A,0,2,A,9,12,2,7,4,2,7,14,2,4,0,0
20/12/2024,19:45,Verona,Milan,0,1,A,0,0,D,10,14,2,6,3,8,21,9,1,1,0,0
21/12/2024,14:00,Torino,Bologna,0,2,A,0,0,D,6,8,0,5,4,0,11,17,0,2,0,0
21/12/2024,17:00,Genoa,Napoli,1,2,A,0,2,A,11,12,3,2,5,6,8,8,2,1,0,0
21/12/2024,19:45,Lecce,Lazio,1,2,A,0,1,A,11,13,2,7,6,6,13,12,3,1,1,0
22/12/2024,11:30,Roma,Parma,5,0,H,2,0,H,19,9,9,3,5,2,10,9,1,2,0,0
22/12/2024,14:00,Venezia,Cagliari,2,1,H,1,0,H,12,14,6,7,4,8,6,11,1,2,0,0
22/12/2024,17:00,Atalanta,Empoli,3,2,H,2,1,H,16,7,7,3,6,3,11,15,1,1,0,0
22/12/2024,19:45,Monza,Juventus,1,2,A,1,2,A,17,16,5,9,3,7,7,13,1,1,0,0
