date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2022-08-05 19:00:00,Lyon,Ajaccio,2,1,H,1.85675,1.13852,Ligue1,2223
2022-08-06 15:00:00,Strasbourg,Monaco,1,2,A,1.39118,2.47965,Ligue1,2223
2022-08-06 19:00:00,Clermont Foot,Paris Saint Germain,0,5,A,0.194932,4.11887,Ligue1,2223
2022-08-07 11:00:00,Toulouse,Nice,1,1,D,1.85439,0.69938,Ligue1,2223
2022-08-07 13:00:00,Lille,Auxerre,4,1,H,1.29993,0.769926,Ligue1,2223
2022-08-07 13:00:00,Montpellier,Troyes,3,2,H,1.57764,1.84274,Ligue1,2223
2022-08-07 13:00:00,Angers,Nantes,0,0,D,1.91609,1.14718,Ligue1,2223
2022-08-07 13:00:00,Lens,Brest,3,2,H,3.31681,1.04228,Ligue1,2223
2022-08-07 15:05:00,Rennes,Lorient,0,1,A,1.40484,0.70567,Ligue1,2223
2022-08-07 18:45:00,Marseille,Reims,4,1,H,2.77019,0.676094,Ligue1,2223
2022-08-12 19:00:00,Nantes,Lille,1,1,D,2.07994,2.53444,Ligue1,2223
2022-08-13 15:00:00,Monaco,Rennes,1,1,D,2.39524,2.02488,Ligue1,2223
2022-08-13 19:00:00,Paris Saint Germain,Montpellier,5,2,H,3.3388,0.778496,Ligue1,2223
2022-08-14 13:00:00,Ajaccio,Lens,0,0,D,0.707316,1.02754,Ligue1,2223
2022-08-14 13:00:00,Auxerre,Angers,2,2,D,0.898665,1.65524,Ligue1,2223
2022-08-14 13:00:00,Reims,Clermont Foot,2,4,A,2.65438,1.56704,Ligue1,2223
2022-08-14 13:00:00,Troyes,Toulouse,0,3,A,0.925402,2.07677,Ligue1,2223
2022-08-14 15:05:00,Nice,Strasbourg,1,1,D,1.51022,1.57207,Ligue1,2223
2022-08-14 18:45:00,Brest,Marseille,1,1,D,1.64132,1.30958,Ligue1,2223
2022-08-19 19:00:00,Lyon,Troyes,4,1,H,3.54595,0.948279,Ligue1,2223
2022-08-20 15:00:00,Monaco,Lens,1,4,A,2.27892,2.45812,Ligue1,2223
2022-08-20 19:00:00,Marseille,Nantes,2,1,H,1.71654,2.35832,Ligue1,2223
2022-08-21 11:00:00,Strasbourg,Reims,1,1,D,1.44615,2.03506,Ligue1,2223
2022-08-21 13:00:00,Angers,Brest,1,3,A,1.05295,2.2269,Ligue1,2223
2022-08-21 13:00:00,Clermont Foot,Nice,1,0,H,0.712338,1.63135,Ligue1,2223
2022-08-21 13:00:00,Montpellier,Auxerre,1,2,A,0.602982,1.29185,Ligue1,2223
2022-08-21 13:00:00,Toulouse,Lorient,2,2,D,2.48022,2.96569,Ligue1,2223
2022-08-21 15:05:00,Rennes,Ajaccio,2,1,H,0.979786,1.44269,Ligue1,2223
2022-08-21 18:45:00,Lille,Paris Saint Germain,1,7,A,1.50337,4.37042,Ligue1,2223
2022-08-26 19:00:00,Ajaccio,Lille,1,3,A,0.513092,1.80552,Ligue1,2223
2022-08-27 15:00:00,Auxerre,Strasbourg,1,0,H,0.770114,1.65529,Ligue1,2223
2022-08-27 19:00:00,Lens,Rennes,2,1,H,1.15835,0.88822,Ligue1,2223
2022-08-28 11:00:00,Nantes,Toulouse,3,1,H,1.80364,0.531418,Ligue1,2223
2022-08-28 13:00:00,Lorient,Clermont Foot,2,1,H,3.46625,0.432527,Ligue1,2223
2022-08-28 13:00:00,Nice,Marseille,0,3,A,0.797222,1.41427,Ligue1,2223
2022-08-28 13:00:00,Brest,Montpellier,0,7,A,0.163077,2.2067,Ligue1,2223
2022-08-28 13:00:00,Troyes,Angers,3,1,H,2.23192,1.00107,Ligue1,2223
