Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
I1,13/08/2022,17:30,Milan,Udinese,4,2,H,2,2,D,14,9,5,4,5,1,16,13,1,4,0,0
I1,13/08/2022,17:30,Sampdoria,Atalanta,0,2,A,0,1,A,11,9,1,3,3,2,13,21,4,6,0,0
I1,13/08/2022,19:45,Lecce,Inter,1,2,A,0,1,A,10,19,4,9,6,8,21,19,4,2,0,0
I1,13/08/2022,19:45,Monza,Torino,1,2,A,0,1,A,15,13,4,6,2,7,6,17,1,2,0,0
I1,14/08/2022,17:30,Fiorentina,Cremonese,3,2,H,2,1,H,27,13,11,4,11,4,10,19,0,3,0,1
I1,14/08/2022,17:30,Lazio,Bologna,2,1,H,0,1,A,9,11,6,3,3,2,11,18,2,6,1,1
I1,14/08/2022,19:45,Salernitana,Roma,0,1,A,0,1,A,13,20,2,5,4,2,18,9,3,2,0,0
I1,14/08/2022,19:45,Spezia,Empoli,1,0,H,1,0,H,9,18,2,5,6,4,15,8,2,1,0,0
I1,15/08/2022,17:30,Verona,Napoli,2,5,A,1,2,A,6,25,3,8,4,8,15,6,2,2,0,0
I1,15/08/2022,19:45,Juventus,Sassuolo,3,0,H,2,0,H,14,19,4,7,3,2,7,5,1,3,0,0
I1,20/08/2022,17:30,Torino,Lazio,0,0,D,0,0,D,10,7,1,2,6,4,11,12,0,5,0,0
I1,20/08/2022,17:30,Udinese,Salernitana,0,0,D,0,0,D,15,17,2,6,6,6,9,12,2,4,1,0
I1,20/08/2022,19:45,Inter,Spezia,3,0,H,1,0,H,19,2,8,0,10,4,11,7,0,0,0,0
I1,20/08/2022,19:45,Sassuolo,Lecce,1,0,H,1,0,H,12,7,3,1,5,4,14,12,5,1,0,0
I1,21/08/2022,17:30,Empoli,Fiorentina,0,0,D,0,0,D,4,19,2,2,1,9,13,11,1,3,1,0
I1,21/08/2022,17:30,Napoli,Monza,4,0,H,2,0,H,22,4,5,1,10,4,11,13,2,1,0,0
I1,21/08/2022,19:45,Atalanta,Milan,1,1,D,1,0,H,11,18,2,7,4,6,15,6,4,3,0,0
I1,21/08/2022,19:45,Bologna,Verona,1,1,D,1,1,D,17,19,5,3,9,8,10,14,3,3,1,0
I1,22/08/2022,17:30,Roma,Cremonese,1,0,H,0,0,D,27,14,12,3,5,6,7,14,0,3,0,0
