Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
21/09/2024,13:00,Valladolid,Sociedad,0,0,D,0,0,D,15,14,2,4,5,7,15,12,4,4,0,0
21/09/2024,15:15,Osasuna,Las Palmas,2,1,H,1,1,D,13,11,2,4,2,4,14,11,2,5,0,0
21/09/2024,17:30,Valencia,Girona,2,0,H,0,0,D,7,8,2,3,5,4,13,10,3,2,0,0
21/09/2024,20:00,Real Madrid,Espanol,4,1,H,0,0,D,31,10,14,2,9,4,7,5,4,3,0,0
22/09/2024,13:00,Getafe,Leganes,1,1,D,0,0,D,12,6,3,3,6,2,16,17,3,2,0,0
22/09/2024,15:15,Ath Bilbao,Celta,3,1,H,2,1,H,10,11,7,4,3,6,16,11,3,2,0,0
22/09/2024,17:30,Villarreal,Barcelona,1,5,A,1,2,A,13,17,4,10,7,3,12,12,6,1,0,0
22/09/2024,20:00,Vallecano,Ath Madrid,1,1,D,1,0,H,15,10,3,5,3,4,9,12,0,0,0,0
23/09/2024,20:00,Betis,Mallorca,1,2,A,1,1,D,14,6,6,6,6,3,12,12,3,2,0,0
24/09/2024,18:00,Sevilla,Valladolid,2,1,H,1,0,H,22,8,5,2,6,4,14,12,5,4,1,0
24/09/2024,18:00,Valencia,Osasuna,0,0,D,0,0,D,10,9,2,2,10,5,6,11,2,3,0,0
24/09/2024,20:00,Real Madrid,Alaves,3,2,H,2,0,H,10,12,4,3,4,4,7,10,4,0,0,0
25/09/2024,18:00,Girona,Vallecano,0,0,D,0,0,D,11,2,0,0,4,3,8,16,3,4,0,0
25/09/2024,20:00,Barcelona,Getafe,1,0,H,1,0,H,16,7,4,1,7,5,4,14,1,1,0,0
26/09/2024,18:00,Espanol,Villarreal,1,2,A,1,1,D,11,15,2,4,4,1,12,14,5,3,0,0
26/09/2024,18:00,Las Palmas,Betis,1,1,D,1,1,D,8,14,2,5,1,4,21,10,4,2,0,0
26/09/2024,20:00,Celta,Ath Madrid,0,1,A,0,0,D,9,7,4,2,2,3,10,7,2,2,0,0
27/09/2024,20:00,Valladolid,Mallorca,1,2,A,0,0,D,11,14,1,6,7,4,15,9,3,2,0,0
28/09/2024,13:00,Getafe,Alaves,2,0,H,1,0,H,14,9,8,1,2,2,17,24,3,6,0,0
28/09/2024,15:15,Vallecano,Leganes,1,1,D,1,0,H,15,13,6,3,5,5,12,7,2,1,0,0
28/09/2024,17:30,Sociedad,Valencia,3,0,H,1,0,H,11,9,6,4,6,4,7,12,0,0,0,0
28/09/2024,20:00,Osasuna,Barcelona,4,2,H,2,0,H,11,12,6,5,5,8,13,3,2,2,0,0
29/09/2024,13:00,Celta,Girona,1,1,D,0,1,A,12,9,2,4,4,4,9,14,1,0,0,0
29/09/2024,15:15,Ath Bilbao,Sevilla,1,1,D,1,0,H,13,13,3,4,4,7,6,7,0,3,1,0
29/09/2024,17:30,Betis,Espanol,1,0,H,0,0,D,20,8,12,1,8,4,14,20,2,4,0,0
29/09/2024,20:00,Ath Madrid,Real Madrid,1,1,D,0,0,D,12,12,4,4,5,5,11,11,3,1,1,0
30/09/2024,20:00,Villarreal,Las Palmas,3,1,H,1,0,H,17,7,7,3,3,2,14,10,0,3,0,0
04/10/2024,20:00,Leganes,Valencia,0,0,D,0,0,D,8,6,0,1,1,2,15,14,2,2,0,0
05/10/2024,13:00,Espanol,Mallorca,2,1,H,1,0,H,8,11,3,4,4,6,14,19,1,5,0,0
05/10/2024,15:15,Getafe,Osasuna,1,1,D,1,0,H,11,6,3,2,4,2,17,10,2,4,0,0
05/10/2024,17:30,Las Palmas,Celta,0,1,A,0,1,A,24,8,5,1,11,2,9,13,3,8,0,2
05/10/2024,17:30,Valladolid,Vallecano,1,2,A,0,0,D,13,17,5,3,5,13,13,18,4,2,0,0
05/10/2024,20:00,Real Madrid,Villarreal,2,0,H,1,0,H,11,10,2,1,2,5,7,11,0,1,0,0
06/10/2024,13:00,Girona,Ath Bilbao,2,1,H,1,1,D,14,13,6,4,6,1,12,13,4,3,0,1
06/10/2024,15:15,Alaves,Barcelona,0,3,A,0,3,A,11,14,2,8,11,3,13,8,2,2,0,0
06/10/2024,17:30,Sevilla,Betis,1,0,H,0,0,D,14,11,5,3,4,1,15,15,6,3,1,0
06/10/2024,20:00,Sociedad,Ath Madrid,1,1,D,0,1,A,16,4,8,1,5,1,10,9,0,2,0,0
18/10/2024,20:00,Alaves,Valladolid,2,3,A,1,1,D,10,12,4,4,5,6,15,14,6,2,1,0
19/10/2024,13:00,Ath Bilbao,Espanol,4,1,H,3,0,H,10,5,6,2,5,5,15,22,2,3,0,0
19/10/2024,15:15,Osasuna,Betis,1,2,A,0,1,A,19,11,6,7,10,2,12,8,2,1,0,1
19/10/2024,17:30,Girona,Sociedad,0,1,A,0,1,A,8,14,3,4,6,6,10,12,2,1,0,0
19/10/2024,20:00,Celta,Real Madrid,1,2,A,0,1,A,13,10,5,3,6,2,16,13,2,1,0,0
20/10/2024,13:00,Mallorca,Vallecano,1,0,H,0,0,D,19,10,5,2,9,2,9,13,1,1,0,0
20/10/2024,15:15,Ath Madrid,Leganes,3,1,H,0,1,A,24,5,9,2,8,2,14,8,5,1,0,0
20/10/2024,17:30,Villarreal,Getafe,1,1,D,1,0,H,10,21,4,4,5,5,18,21,4,3,0,0
20/10/2024,20:00,Barcelona,Sevilla,5,1,H,3,0,H,21,7,9,1,5,5,6,14,1,2,0,0
21/10/2024,20:00,Valencia,Las Palmas,2,3,A,1,1,D,14,11,7,6,11,2,12,12,4,9,1,0
25/10/2024,20:00,Espanol,Sevilla,0,2,A,0,2,A,16,6,1,3,13,2,14,9,2,0,0,0
26/10/2024,13:00,Valladolid,Villarreal,1,2,A,0,1,A,7,21,3,9,4,6,16,13,4,3,0,0
26/10/2024,15:15,Vallecano,Alaves,1,0,H,0,0,D,16,15,4,7,6,2,8,14,2,4,1,0
