date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2018-08-10 22:00:00,Manchester United,Leicester,2,1,H,1.5137,1.73813,EPL,1819
2018-08-11 14:30:00,Newcastle United,Tottenham,1,2,A,0.974497,2.58097,EPL,1819
2018-08-11 17:00:00,Watford,Brighton,2,0,H,1.42372,0.45504,EPL,1819
2018-08-11 17:00:00,Huddersfield,Chelsea,0,3,A,0.396115,2.31427,EPL,1819
2018-08-11 17:00:00,Fulham,Crystal Palace,0,2,A,0.638076,1.07816,EPL,1819
2018-08-11 17:00:00,Bournemouth,Cardiff,2,0,H,2.60022,1.50693,EPL,1819
2018-08-11 19:30:00,Wolverhampton Wanderers,Everton,2,2,D,0.891038,0.715382,EPL,1819
2018-08-12 15:30:00,Southampton,Burnley,0,0,D,1.01994,1.40827,EPL,1819
2018-08-12 15:30:00,Liverpool,West Ham,4,0,H,4.34421,0.404253,EPL,1819
2018-08-12 18:00:00,Arsenal,Manchester City,0,2,A,0.445187,2.0178,EPL,1819
2018-08-18 14:30:00,Cardiff,Newcastle United,0,0,D,1.15521,1.55405,EPL,1819
2018-08-18 17:00:00,West Ham,Bournemouth,1,2,A,1.10275,1.69077,EPL,1819
2018-08-18 17:00:00,Tottenham,Fulham,3,1,H,3.26713,1.44253,EPL,1819
2018-08-18 17:00:00,Leicester,Wolverhampton Wanderers,2,0,H,0.222843,1.09349,EPL,1819
2018-08-18 17:00:00,Everton,Southampton,2,1,H,2.02004,1.77471,EPL,1819
2018-08-18 19:30:00,Chelsea,Arsenal,3,2,H,1.71799,2.45798,EPL,1819
2018-08-19 15:30:00,Manchester City,Huddersfield,6,1,H,4.60356,0.663731,EPL,1819
2018-08-19 15:30:00,Burnley,Watford,1,3,A,0.392642,1.9171,EPL,1819
2018-08-19 18:00:00,Brighton,Manchester United,3,2,H,1.63672,1.56579,EPL,1819
2018-08-20 22:00:00,Crystal Palace,Liverpool,0,2,A,0.368608,2.82183,EPL,1819
2018-08-25 14:30:00,Wolverhampton Wanderers,Manchester City,1,1,D,1.26376,1.84293,EPL,1819
2018-08-25 17:00:00,Southampton,Leicester,1,2,A,0.542494,0.517935,EPL,1819
2018-08-25 17:00:00,Huddersfield,Cardiff,0,0,D,0.203453,1.06351,EPL,1819
2018-08-25 17:00:00,Bournemouth,Everton,2,2,D,2.5887,0.543665,EPL,1819
2018-08-25 17:00:00,Arsenal,West Ham,3,1,H,1.7852,1.17924,EPL,1819
2018-08-25 19:30:00,Liverpool,Brighton,1,0,H,1.81412,0.535616,EPL,1819
2018-08-26 15:30:00,Watford,Crystal Palace,2,1,H,1.14596,1.21905,EPL,1819
2018-08-26 17:00:00,Fulham,Burnley,4,2,H,1.92459,1.56882,EPL,1819
2018-08-26 18:00:00,Newcastle United,Chelsea,1,2,A,0.209337,1.49669,EPL,1819
2018-08-27 22:00:00,Manchester United,Tottenham,0,3,A,1.40321,1.80811,EPL,1819
2018-09-01 11:30:00,Leicester,Liverpool,1,2,A,0.981217,1.22722,EPL,1819
2018-09-01 14:00:00,West Ham,Wolverhampton Wanderers,0,1,A,0.888887,1.22301,EPL,1819
