Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,21/09/2019,16:30,Marseille,Montpellier,1,1,D,0,1,A,24,3,5,2,15,1,11,17,4,3,2,1
F1,21/09/2019,19:00,Bordeaux,Brest,2,2,D,1,2,A,18,13,5,3,5,9,9,11,4,3,0,0
F1,21/09/2019,19:00,Metz,Amiens,1,2,A,0,1,A,13,9,4,5,4,6,13,12,1,1,0,0
F1,21/09/2019,19:00,Nice,Dijon,2,1,H,1,1,D,16,13,6,7,6,3,7,13,2,3,0,0
F1,21/09/2019,19:00,Nimes,Toulouse,1,0,H,1,0,H,19,9,4,2,5,7,14,11,1,3,0,1
F1,21/09/2019,19:00,Reims,Monaco,0,0,D,0,0,D,16,12,4,4,6,3,16,10,0,2,0,0
F1,22/09/2019,14:00,Rennes,Lille,1,1,D,0,0,D,11,15,3,6,4,8,14,11,2,1,0,0
F1,22/09/2019,16:00,Angers,St Etienne,4,1,H,0,1,A,14,6,5,2,5,4,13,12,1,1,0,0
F1,22/09/2019,20:00,Lyon,Paris SG,0,1,A,0,0,D,12,21,0,7,2,11,8,6,1,1,0,0
F1,24/09/2019,18:00,Dijon,Marseille,0,0,D,0,0,D,18,9,6,2,8,3,9,14,3,3,0,0
F1,24/09/2019,20:00,Monaco,Nice,3,1,H,1,0,H,17,10,5,3,5,7,10,14,2,3,0,0
F1,25/09/2019,18:00,Amiens,Bordeaux,1,3,A,1,2,A,11,15,3,6,3,3,15,13,2,2,0,0
F1,25/09/2019,18:00,Brest,Lyon,2,2,D,1,1,D,13,11,5,5,2,6,9,10,0,0,0,0
F1,25/09/2019,18:00,Lille,Strasbourg,2,0,H,1,0,H,12,5,5,1,4,2,7,12,0,1,0,0
F1,25/09/2019,18:00,Montpellier,Nimes,1,0,H,1,0,H,12,15,4,3,4,8,14,19,3,4,0,0
F1,25/09/2019,18:00,Nantes,Rennes,1,0,H,0,0,D,8,6,2,2,2,4,16,17,2,4,0,0
F1,25/09/2019,18:00,St Etienne,Metz,0,1,A,0,1,A,15,12,3,1,8,5,12,12,4,2,0,0
F1,25/09/2019,18:00,Toulouse,Angers,0,2,A,0,0,D,6,22,1,6,5,11,15,12,1,0,0,0
F1,25/09/2019,20:00,Paris SG,Reims,0,2,A,0,1,A,12,13,3,2,6,6,10,11,1,2,0,0
F1,28/09/2019,12:30,Lyon,Nantes,0,1,A,0,0,D,14,11,7,2,7,8,10,10,2,2,0,0
F1,28/09/2019,16:30,Bordeaux,Paris SG,0,1,A,0,0,D,4,21,1,7,0,9,10,13,0,3,0,0
F1,28/09/2019,19:00,Angers,Amiens,1,1,D,0,1,A,23,8,6,4,10,2,10,13,1,0,0,0
F1,28/09/2019,19:00,Metz,Toulouse,2,2,D,1,0,H,13,15,3,6,3,6,10,17,1,1,0,0
F1,28/09/2019,19:00,Monaco,Brest,4,1,H,1,0,H,21,5,13,1,7,1,7,15,1,2,0,0
F1,28/09/2019,19:00,Nice,Lille,1,1,D,1,1,D,12,11,5,6,6,5,8,14,2,2,0,0
F1,28/09/2019,19:00,Reims,Dijon,1,2,A,1,1,D,18,11,2,4,5,4,8,21,1,2,0,0
F1,29/09/2019,14:00,Strasbourg,Montpellier,1,0,H,1,0,H,8,11,3,3,1,6,18,13,4,2,0,0
F1,29/09/2019,16:00,Nimes,St Etienne,0,1,A,0,0,D,22,6,8,4,13,5,12,15,1,4,0,1
F1,29/09/2019,20:00,Marseille,Rennes,1,1,D,0,1,A,17,12,5,2,7,4,18,13,4,0,0,0
F1,04/10/2019,19:45,Amiens,Marseille,3,1,H,2,1,H,11,13,5,4,3,7,16,15,1,3,0,0
F1,05/10/2019,16:30,Paris SG,Angers,4,0,H,2,0,H,15,10,8,2,6,1,12,11,3,1,0,0
F1,05/10/2019,19:00,Brest,Metz,2,0,H,2,0,H,7,12,3,4,2,9,12,15,2,1,0,0
F1,05/10/2019,19:00,Dijon,Strasbourg,1,0,H,1,0,H,8,15,3,2,6,7,7,14,3,3,0,0
F1,05/10/2019,19:00,Montpellier,Monaco,3,1,H,2,0,H,17,14,10,4,6,8,18,11,1,2,0,1
F1,05/10/2019,19:00,Nantes,Nice,1,0,H,0,0,D,14,6,5,2,6,1,14,7,1,2,0,0
F1,05/10/2019,19:00,Toulouse,Bordeaux,1,3,A,0,2,A,15,10,4,4,5,4,16,16,4,2,0,0
F1,06/10/2019,14:00,Lille,Nimes,2,2,D,1,1,D,18,14,7,4,8,6,19,10,3,1,0,0
F1,06/10/2019,16:00,Rennes,Reims,0,1,A,0,0,D,18,13,3,7,5,3,13,19,1,3,0,0
F1,06/10/2019,20:00,St Etienne,Lyon,1,0,H,0,0,D,6,6,4,2,5,1,13,18,1,2,0,0
F1,18/10/2019,19:45,Nice,Paris SG,1,4,A,0,2,A,10,24,2,10,1,13,12,15,3,2,2,0
F1,19/10/2019,16:30,Lyon,Dijon,0,0,D,0,0,D,24,6,10,1,8,1,12,11,0,0,0,0
