Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
04/10/2024,19:45,Marseille,Angers,1,1,D,0,0,D,13,8,4,3,9,3,12,9,4,0,1,1
05/10/2024,16:00,St Etienne,Auxerre,3,1,H,1,0,H,13,11,5,3,5,4,13,10,3,1,0,0
05/10/2024,18:00,Lille,Toulouse,2,1,H,0,1,A,10,9,3,3,4,6,13,8,3,2,0,0
05/10/2024,20:00,Rennes,Monaco,1,2,A,1,2,A,14,5,3,2,10,4,9,16,2,4,0,0
06/10/2024,14:00,Lyon,Nantes,2,0,H,1,0,H,17,11,6,6,6,9,10,5,1,2,0,0
06/10/2024,16:00,Brest,Le Havre,2,0,H,1,0,H,8,14,3,0,1,9,19,11,4,0,1,1
06/10/2024,16:00,Reims,Montpellier,4,2,H,2,1,H,18,10,5,3,4,4,15,13,3,5,0,0
06/10/2024,16:00,Strasbourg,Lens,2,2,D,1,2,A,8,12,5,5,3,5,15,18,2,4,0,0
06/10/2024,19:45,Nice,Paris SG,1,1,D,1,0,H,9,19,3,9,5,15,7,9,1,2,0,0
18/10/2024,19:45,Monaco,Lille,0,0,D,0,0,D,14,3,4,1,6,1,13,14,1,5,1,0
19/10/2024,16:00,Brest,Rennes,1,1,D,0,0,D,12,6,2,4,2,4,18,15,2,2,0,0
19/10/2024,18:00,St Etienne,Lens,0,2,A,0,1,A,15,13,1,5,2,7,12,16,1,2,0,0
19/10/2024,20:00,Paris SG,Strasbourg,4,2,H,1,0,H,18,16,10,8,5,5,10,12,2,2,0,0
20/10/2024,14:00,Le Havre,Lyon,0,4,A,0,1,A,7,16,1,8,4,6,17,11,3,4,0,0
20/10/2024,16:00,Auxerre,Reims,2,1,H,1,0,H,10,15,8,3,5,9,6,10,2,3,0,0
20/10/2024,16:00,Nantes,Nice,1,1,D,0,0,D,11,13,7,7,4,8,10,11,2,1,0,0
20/10/2024,16:00,Toulouse,Angers,1,1,D,0,1,A,18,8,6,4,8,2,11,9,2,4,0,0
20/10/2024,19:45,Montpellier,Marseille,0,5,A,0,3,A,13,21,5,10,3,2,11,18,1,3,1,0
25/10/2024,19:45,Rennes,Le Havre,1,0,H,0,0,D,20,5,4,1,14,0,10,7,2,4,0,1
26/10/2024,16:00,Angers,St Etienne,4,2,H,2,1,H,13,19,8,7,2,3,10,13,1,3,0,0
26/10/2024,18:00,Reims,Brest,1,2,A,1,2,A,11,13,3,4,7,3,15,11,3,2,0,0
