Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
15/08/2025,19:45,Rennes,Marseille,1,0,H,0,0,D,12,24,5,2,1,12,8,11,2,3,1,0
16/08/2025,16:00,Lens,Lyon,0,1,A,0,1,A,18,11,5,3,13,8,13,20,2,3,0,0
16/08/2025,18:00,Monaco,Le Havre,3,1,H,1,0,H,13,9,3,4,5,4,5,14,0,1,0,0
16/08/2025,20:05,Nice,Toulouse,0,1,A,0,0,D,13,10,2,2,9,4,12,13,2,3,0,0
17/08/2025,14:00,Brest,Lille,3,3,D,1,2,A,18,10,5,6,2,2,11,13,2,1,0,0
17/08/2025,16:15,Angers,Paris FC,1,0,H,1,0,H,8,17,2,7,3,7,14,10,2,1,1,0
17/08/2025,16:15,Auxerre,Lorient,1,0,H,0,0,D,7,14,3,3,4,5,18,14,3,2,0,0
17/08/2025,16:15,Metz,Strasbourg,0,1,A,0,0,D,2,9,0,4,3,3,16,13,2,2,0,0
17/08/2025,19:45,Nantes,Paris SG,0,1,A,0,0,D,6,18,0,4,2,7,6,6,1,1,0,0
22/08/2025,19:45,Paris SG,Angers,1,0,H,0,0,D,21,3,4,0,12,0,3,9,0,0,0,0
23/08/2025,16:00,Marseille,Paris FC,5,2,H,2,1,H,12,8,7,4,5,2,9,12,1,0,0,0
23/08/2025,18:00,Nice,Auxerre,3,1,H,2,1,H,16,12,6,8,5,4,10,15,2,2,0,1
23/08/2025,20:05,Lyon,Metz,3,0,H,2,0,H,13,11,8,2,4,3,13,15,0,2,0,0
24/08/2025,14:00,Lorient,Rennes,4,0,H,1,0,H,22,5,7,1,3,2,18,7,6,0,0,2
24/08/2025,16:15,Le Havre,Lens,1,2,A,1,2,A,18,6,6,3,7,0,17,16,3,1,0,0
24/08/2025,16:15,Strasbourg,Nantes,1,0,H,0,0,D,15,9,4,2,7,6,11,9,2,2,0,0
24/08/2025,16:15,Toulouse,Brest,2,0,H,0,0,D,6,16,3,2,3,9,14,10,0,1,0,0
24/08/2025,19:45,Lille,Monaco,1,0,H,0,0,D,18,6,1,1,8,3,7,14,1,2,0,0
