Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,05/08/2022,20:00,Lyon,Ajaccio,2,1,H,2,1,H,11,8,6,4,4,3,10,18,1,6,1,1
F1,06/08/2022,16:00,Strasbourg,Monaco,1,2,A,0,1,A,11,24,7,11,3,7,18,15,0,2,0,0
F1,06/08/2022,20:00,Clermont,Paris SG,0,5,A,0,3,A,7,18,1,12,0,6,13,13,2,1,0,0
F1,07/08/2022,12:00,Toulouse,Nice,1,1,D,1,0,H,6,11,4,4,6,3,10,8,1,2,0,0
F1,07/08/2022,14:00,Angers,Nantes,0,0,D,0,0,D,16,14,6,4,3,6,15,13,3,3,0,0
F1,07/08/2022,14:00,Lens,Brest,3,2,H,1,0,H,17,6,7,4,6,3,16,14,2,4,0,0
F1,07/08/2022,14:00,Lille,Auxerre,4,1,H,3,0,H,16,10,7,2,7,2,10,9,2,1,0,0
F1,07/08/2022,14:00,Montpellier,Troyes,3,2,H,2,2,D,17,15,6,10,3,6,13,10,1,0,0,0
F1,07/08/2022,16:05,Rennes,Lorient,0,1,A,0,0,D,21,8,6,2,7,2,11,5,3,1,0,0
F1,07/08/2022,19:45,Marseille,Reims,4,1,H,2,0,H,16,16,6,6,6,7,14,10,2,0,0,0
F1,12/08/2022,20:00,Nantes,Lille,1,1,D,1,0,H,10,16,1,5,5,11,14,10,1,4,0,0
F1,13/08/2022,16:00,Monaco,Rennes,1,1,D,0,0,D,12,24,4,8,1,6,6,11,0,3,1,0
F1,13/08/2022,20:00,Paris SG,Montpellier,5,2,H,2,0,H,20,7,10,4,11,0,15,18,2,1,0,0
F1,14/08/2022,14:00,Ajaccio,Lens,0,0,D,0,0,D,9,12,2,3,1,3,16,18,5,2,0,0
F1,14/08/2022,14:00,Auxerre,Angers,2,2,D,2,1,H,11,11,4,2,4,5,10,16,5,3,1,0
F1,14/08/2022,14:00,Reims,Clermont,2,4,A,2,0,H,9,10,6,5,1,6,18,8,3,3,1,0
F1,14/08/2022,14:00,Troyes,Toulouse,0,3,A,0,1,A,12,10,2,4,6,6,14,19,2,1,0,0
F1,14/08/2022,16:05,Nice,Strasbourg,1,1,D,1,0,H,13,9,3,5,7,3,7,13,1,4,0,0
F1,14/08/2022,19:45,Brest,Marseille,1,1,D,0,1,A,17,5,5,2,7,5,10,15,1,4,0,0
F1,19/08/2022,20:00,Lyon,Troyes,4,1,H,1,1,D,16,4,8,1,4,5,9,7,0,1,0,0
F1,20/08/2022,16:00,Monaco,Lens,1,4,A,1,2,A,12,14,5,6,3,5,18,13,4,0,1,0
F1,20/08/2022,20:00,Marseille,Nantes,2,1,H,0,0,D,16,12,5,3,7,4,15,6,5,1,1,0
F1,21/08/2022,12:00,Strasbourg,Reims,1,1,D,1,0,H,12,12,3,6,5,4,12,16,1,4,0,0
F1,21/08/2022,14:00,Angers,Brest,1,3,A,0,2,A,7,11,5,7,3,6,9,10,2,0,1,0
F1,21/08/2022,14:00,Clermont,Nice,1,0,H,1,0,H,7,13,2,4,3,6,4,21,1,2,0,2
F1,21/08/2022,14:00,Montpellier,Auxerre,1,2,A,1,0,H,13,7,7,2,7,2,10,13,1,3,2,2
F1,21/08/2022,14:00,Toulouse,Lorient,2,2,D,1,1,D,16,14,8,4,3,6,14,10,2,1,0,0
F1,21/08/2022,16:05,Rennes,Ajaccio,2,1,H,1,0,H,16,10,7,3,4,8,13,11,5,2,2,0
F1,21/08/2022,19:45,Lille,Paris SG,1,7,A,0,4,A,16,16,10,9,2,4,13,8,2,1,0,0
F1,26/08/2022,20:00,Ajaccio,Lille,1,3,A,0,2,A,13,7,2,4,6,0,13,13,3,2,0,0
F1,27/08/2022,16:00,Auxerre,Strasbourg,1,0,H,1,0,H,7,14,3,4,2,5,4,6,0,1,0,0
F1,27/08/2022,20:00,Lens,Rennes,2,1,H,0,0,D,17,12,4,6,7,2,15,13,0,1,0,0
F1,28/08/2022,12:00,Nantes,Toulouse,3,1,H,0,1,A,16,9,8,3,4,5,11,9,0,3,0,0
F1,28/08/2022,14:00,Brest,Montpellier,0,7,A,0,5,A,6,14,0,8,5,4,15,16,0,2,1,0
F1,28/08/2022,14:00,Lorient,Clermont,2,1,H,2,0,H,22,9,9,2,3,4,12,9,1,3,0,1
F1,28/08/2022,14:00,Nice,Marseille,0,3,A,0,3,A,16,13,2,4,7,5,7,15,1,1,0,0
F1,28/08/2022,14:00,Troyes,Angers,3,1,H,1,0,H,25,7,11,3,8,3,8,12,2,3,0,1
F1,28/08/2022,16:05,Reims,Lyon,1,1,D,1,0,H,8,18,5,5,2,7,12,12,1,1,1,0
F1,28/08/2022,19:45,Paris SG,Monaco,1,1,D,0,1,A,18,4,5,3,4,3,12,15,4,4,0,0
F1,31/08/2022,18:00,Angers,Reims,2,4,A,0,2,A,10,11,3,5,4,3,9,15,1,6,0,1
F1,31/08/2022,18:00,Lyon,Auxerre,2,1,H,1,0,H,20,6,8,2,9,3,13,13,0,2,0,0
F1,31/08/2022,18:00,Monaco,Troyes,2,4,A,1,2,A,8,19,6,11,8,6,13,11,3,1,1,0
F1,31/08/2022,18:00,Montpellier,Ajaccio,2,0,H,1,0,H,9,15,4,0,3,8,9,17,2,4,1,1
F1,31/08/2022,18:00,Strasbourg,Nantes,1,1,D,1,0,H,5,12,2,3,3,6,13,18,0,3,0,0
F1,31/08/2022,20:00,Lens,Lorient,5,2,H,2,1,H,15,10,8,3,4,5,10,6,1,3,0,0
F1,31/08/2022,20:00,Lille,Nice,1,2,A,1,2,A,18,3,6,2,6,3,15,21,1,4,0,0
F1,31/08/2022,20:00,Marseille,Clermont,1,0,H,0,0,D,21,3,7,0,7,1,16,12,2,2,0,0
F1,31/08/2022,20:00,Rennes,Brest,3,1,H,0,0,D,16,7,9,2,7,3,11,6,2,0,0,0
F1,31/08/2022,20:00,Toulouse,Paris SG,0,3,A,0,1,A,14,20,7,13,3,9,10,7,1,0,0,0
F1,03/09/2022,16:00,Auxerre,Marseille,0,2,A,0,1,A,8,15,2,7,4,1,8,14,1,1,0,0
F1,03/09/2022,18:00,Lyon,Angers,5,0,H,2,0,H,16,8,9,3,13,3,5,9,2,1,0,0
F1,03/09/2022,20:00,Nantes,Paris SG,0,3,A,0,1,A,10,19,1,7,1,7,6,12,1,4,1,0
F1,04/09/2022,12:00,Montpellier,Lille,1,3,A,1,1,D,4,26,2,7,1,9,8,11,0,4,1,0
F1,04/09/2022,14:00,Ajaccio,Lorient,0,1,A,0,0,D,16,7,3,4,3,3,16,12,4,1,0,0
F1,04/09/2022,14:00,Brest,Strasbourg,1,1,D,1,1,D,11,10,2,3,7,3,15,9,3,1,0,1
F1,04/09/2022,14:00,Clermont,Toulouse,2,0,H,0,0,D,12,14,3,4,4,6,14,12,4,1,0,0
F1,04/09/2022,14:00,Reims,Lens,1,1,D,0,0,D,17,20,4,4,4,4,9,11,2,2,0,1
F1,04/09/2022,16:05,Troyes,Rennes,1,1,D,1,0,H,9,19,1,6,3,5,13,22,2,2,1,0
F1,04/09/2022,19:45,Nice,Monaco,0,1,A,0,0,D,12,14,5,2,3,6,10,12,2,1,0,0
F1,07/09/2022,18:00,Lorient,Lyon,3,1,H,2,1,H,11,15,6,7,1,6,8,18,1,3,0,0
F1,09/09/2022,20:00,Lens,Troyes,1,0,H,1,0,H,12,7,3,2,9,1,16,10,2,1,0,0
F1,10/09/2022,16:00,Paris SG,Brest,1,0,H,1,0,H,13,6,4,3,3,5,13,16,4,2,0,0
F1,10/09/2022,20:00,Marseille,Lille,2,1,H,1,1,D,14,7,7,3,4,3,22,17,5,1,0,0
F1,11/09/2022,12:00,Strasbourg,Clermont,0,0,D,0,0,D,12,10,4,4,3,5,20,15,4,2,1,0
F1,11/09/2022,14:00,Ajaccio,Nice,0,1,A,0,0,D,9,12,3,3,2,3,9,11,1,5,0,0
F1,11/09/2022,14:00,Angers,Montpellier,2,1,H,1,1,D,11,7,5,2,2,5,15,12,2,4,0,0
F1,11/09/2022,14:00,Lorient,Nantes,3,2,H,1,1,D,13,9,5,4,2,5,9,17,2,3,0,0
