Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
SP1,19/08/16,La Coruna,Eibar,2,1,H,0,0,D,11,12,6,6,1,8,14,17,3,3,0,0
SP1,19/08/16,Malaga,Osasuna,1,1,D,0,0,D,14,8,4,3,5,3,11,22,2,3,0,0
SP1,20/08/16,Barcelona,Betis,6,2,H,3,1,H,30,6,12,2,10,2,17,13,1,3,0,0
SP1,20/08/16,Granada,Villarreal,1,1,D,0,0,D,7,12,1,3,7,3,17,11,2,3,0,0
SP1,20/08/16,Sevilla,Espanol,6,4,H,3,3,D,16,10,11,7,8,2,8,15,2,2,0,0
SP1,21/08/16,Ath Madrid,Alaves,1,1,D,0,0,D,27,2,6,1,20,2,7,15,0,4,0,0
SP1,21/08/16,Sociedad,Real Madrid,0,3,A,0,2,A,8,18,0,8,4,7,22,11,2,3,0,0
SP1,21/08/16,Sp Gijon,Ath Bilbao,2,1,H,0,0,D,12,13,4,4,2,5,18,15,3,3,0,0
SP1,22/08/16,Celta,Leganes,0,1,A,0,0,D,10,15,2,6,8,4,5,13,4,1,0,1
SP1,22/08/16,Valencia,Las Palmas,2,4,A,2,3,A,17,6,8,4,12,1,15,18,2,2,0,0
SP1,26/08/16,Betis,La Coruna,0,0,D,0,0,D,15,12,5,1,13,2,20,15,0,2,0,0
SP1,26/08/16,Espanol,Malaga,2,2,D,1,0,H,7,9,2,3,3,4,20,17,2,4,0,0
SP1,27/08/16,Eibar,Valencia,1,0,H,0,0,D,13,13,6,3,6,10,13,11,2,2,0,0
SP1,27/08/16,Leganes,Ath Madrid,0,0,D,0,0,D,6,10,1,3,1,8,19,5,3,1,0,0
SP1,27/08/16,Osasuna,Sociedad,0,2,A,0,1,A,8,5,3,4,10,1,14,14,2,1,0,0
SP1,27/08/16,Real Madrid,Celta,2,1,H,0,0,D,24,8,10,3,7,2,8,11,0,2,0,0
SP1,28/08/16,Alaves,Sp Gijon,0,0,D,0,0,D,13,7,2,1,4,6,10,12,1,1,0,0
SP1,28/08/16,Ath Bilbao,Barcelona,0,1,A,0,1,A,9,12,4,3,4,4,20,13,5,4,0,0
SP1,28/08/16,Las Palmas,Granada,5,1,H,1,1,D,15,13,10,2,6,4,8,16,5,1,0,0
SP1,28/08/16,Villarreal,Sevilla,0,0,D,0,0,D,12,6,5,0,5,1,16,12,1,3,0,0
SP1,09/09/16,Sociedad,Espanol,1,1,D,0,0,D,9,4,3,1,11,1,10,10,2,2,0,1
SP1,10/09/16,Barcelona,Alaves,1,2,A,0,1,A,16,5,2,4,13,0,12,12,1,1,0,0
SP1,10/09/16,Celta,Ath Madrid,0,4,A,0,0,D,9,13,1,6,6,4,13,12,1,2,0,0
SP1,10/09/16,Malaga,Villarreal,0,2,A,0,2,A,15,12,2,6,9,7,8,14,2,1,0,0
SP1,10/09/16,Real Madrid,Osasuna,5,2,H,3,0,H,25,10,11,3,6,7,14,14,2,2,0,1
SP1,10/09/16,Sevilla,Las Palmas,2,1,H,0,1,A,16,7,7,4,10,1,15,13,2,4,0,1
SP1,11/09/16,Granada,Eibar,1,2,A,0,1,A,15,10,5,8,6,7,7,8,2,0,0,1
SP1,11/09/16,La Coruna,Ath Bilbao,0,1,A,0,1,A,16,7,3,2,7,6,15,15,2,3,0,0
SP1,11/09/16,Sp Gijon,Leganes,2,1,H,2,0,H,7,9,4,2,3,5,12,16,0,2,0,0
SP1,11/09/16,Valencia,Betis,2,3,A,0,1,A,23,12,9,5,5,5,15,21,2,4,1,0
SP1,16/09/16,Betis,Granada,2,2,D,1,2,A,23,15,7,8,7,3,13,17,4,3,1,1
SP1,17/09/16,Ath Madrid,Sp Gijon,5,0,H,3,0,H,18,10,7,1,1,4,14,9,0,2,0,0
SP1,17/09/16,Eibar,Sevilla,1,1,D,0,1,A,10,8,2,4,4,2,19,10,1,1,2,0
SP1,17/09/16,Las Palmas,Malaga,1,0,H,1,0,H,6,10,2,2,2,2,11,18,3,1,0,0
SP1,17/09/16,Leganes,Barcelona,1,5,A,0,3,A,15,10,6,7,2,5,28,7,4,2,0,0
SP1,18/09/16,Ath Bilbao,Valencia,2,1,H,2,1,H,13,10,4,2,7,1,19,20,4,4,0,0
SP1,18/09/16,Espanol,Real Madrid,0,2,A,0,1,A,11,13,2,7,4,5,19,8,4,2,0,0
SP1,18/09/16,Osasuna,Celta,0,0,D,0,0,D,9,13,2,5,3,5,18,13,4,1,0,0
SP1,18/09/16,Villarreal,Sociedad,2,1,H,2,1,H,9,15,4,2,3,6,13,16,2,3,0,1
SP1,19/09/16,Alaves,La Coruna,0,0,D,0,0,D,9,16,1,1,4,5,16,8,3,4,0,0
SP1,20/09/16,Malaga,Eibar,2,1,H,1,1,D,14,12,6,3,7,5,7,13,2,4,0,0
SP1,20/09/16,Sevilla,Betis,1,0,H,0,0,D,12,8,3,3,6,2,24,17,5,4,0,0
SP1,21/09/16,Barcelona,Ath Madrid,1,1,D,1,0,H,19,9,7,4,8,2,14,17,2,4,0,0
SP1,21/09/16,Celta,Sp Gijon,2,1,H,0,0,D,16,4,5,1,8,0,16,8,2,3,0,0
SP1,21/09/16,Granada,Ath Bilbao,1,2,A,1,1,D,13,13,2,8,6,3,8,9,1,0,0,0
SP1,21/09/16,Real Madrid,Villarreal,1,1,D,0,1,A,22,8,6,3,17,3,9,9,4,1,0,0
SP1,21/09/16,Sociedad,Las Palmas,4,1,H,3,0,H,17,8,7,3,7,4,3,7,1,2,0,1
SP1,22/09/16,La Coruna,Leganes,1,2,A,1,0,H,12,8,5,2,7,1,20,18,0,3,0,0
SP1,22/09/16,Osasuna,Espanol,1,2,A,0,1,A,17,10,11,2,7,1,16,14,2,1,0,0
SP1,22/09/16,Valencia,Alaves,2,1,H,1,1,D,12,8,2,1,7,4,14,13,2,3,0,0
SP1,23/09/16,Betis,Malaga,1,0,H,1,0,H,11,16,4,6,6,5,20,15,4,6,0,0
SP1,24/09/16,Ath Bilbao,Sevilla,3,1,H,1,0,H,14,5,7,2,4,5,9,9,2,2,0,1
SP1,24/09/16,Eibar,Sociedad,2,0,H,0,0,D,17,3,3,0,5,3,15,13,4,2,0,1
SP1,24/09/16,Las Palmas,Real Madrid,2,2,D,1,1,D,8,27,6,11,0,5,7,19,3,2,0,0
SP1,24/09/16,Sp Gijon,Barcelona,0,5,A,0,2,A,10,13,3,7,4,3,15,10,1,0,1,0
SP1,25/09/16,Ath Madrid,La Coruna,1,0,H,0,0,D,21,8,5,1,10,0,13,19,1,2,0,1
SP1,25/09/16,Espanol,Celta,0,2,A,0,0,D,10,12,2,4,4,7,15,13,2,3,0,0
SP1,25/09/16,Leganes,Valencia,1,2,A,1,1,D,7,10,3,4,1,5,19,17,4,4,0,0
SP1,25/09/16,Villarreal,Osasuna,3,1,H,3,1,H,12,11,5,3,5,5,7,16,0,2,0,0
SP1,26/09/16,Alaves,Granada,3,1,H,0,0,D,16,13,6,3,5,6,15,19,3,3,0,0
SP1,30/09/16,Sociedad,Betis,1,0,H,0,0,D,16,5,8,2,4,2,17,22,2,3,0,0
SP1,01/10/16,Granada,Leganes,0,1,A,0,0,D,8,9,1,3,6,4,13,20,1,0,0,0
SP1,01/10/16,La Coruna,Sp Gijon,2,1,H,1,0,H,21,7,6,2,11,4,17,26,0,4,0,0
SP1,01/10/16,Osasuna,Las Palmas,2,2,D,2,0,H,5,17,3,5,1,12,17,7,3,4,0,0
SP1,01/10/16,Sevilla,Alaves,2,1,H,0,0,D,20,6,12,1,9,2,10,13,2,6,0,0
SP1,02/10/16,Celta,Barcelona,4,3,H,3,0,H,14,13,9,4,3,6,16,11,1,3,0,0
SP1,02/10/16,Espanol,Villarreal,0,0,D,0,0,D,9,5,1,1,3,1,14,10,2,2,0,0
SP1,02/10/16,Malaga,Ath Bilbao,2,1,H,0,1,A,15,7,3,1,7,2,19,11,7,3,1,1
SP1,02/10/16,Real Madrid,Eibar,1,1,D,1,1,D,15,7,3,4,7,5,8,15,4,5,0,0
SP1,02/10/16,Valencia,Ath Madrid,0,2,A,0,0,D,14,17,5,10,6,5,10,15,1,3,0,0
SP1,14/10/16,Las Palmas,Espanol,0,0,D,0,0,D,13,5,8,2,8,4,13,21,2,3,0,0
SP1,15/10/16,Ath Madrid,Granada,7,1,H,2,1,H,17,9,11,2,11,3,14,8,1,1,0,0
SP1,15/10/16,Barcelona,La Coruna,4,0,H,3,0,H,25,7,8,0,8,2,5,15,1,2,0,1
SP1,15/10/16,Betis,Real Madrid,1,6,A,0,4,A,13,22,2,9,2,5,14,8,4,1,0,0
SP1,15/10/16,Leganes,Sevilla,2,3,A,0,1,A,19,5,6,4,5,2,17,20,2,5,0,0
SP1,16/10/16,Alaves,Malaga,1,1,D,1,0,H,8,12,4,5,6,7,14,14,3,3,1,1
SP1,16/10/16,Ath Bilbao,Sociedad,3,2,H,0,1,A,15,6,11,3,7,4,17,19,3,3,0,0
SP1,16/10/16,Sp Gijon,Valencia,1,2,A,1,1,D,10,7,2,3,4,4,21,11,5,1,0,0
SP1,16/10/16,Villarreal,Celta,5,0,H,3,0,H,11,4,5,1,3,5,19,12,1,4,0,1
SP1,17/10/16,Eibar,Osasuna,2,3,A,2,2,D,13,8,5,4,5,0,15,12,1,2,0,0
SP1,21/10/16,Osasuna,Betis,1,2,A,0,1,A,13,12,5,6,6,4,20,12,3,2,1,0
SP1,22/10/16,Espanol,Eibar,3,3,D,0,3,A,11,8,5,3,7,6,11,12,1,6,1,0
SP1,22/10/16,Granada,Sp Gijon,0,0,D,0,0,D,12,3,1,3,3,3,10,12,4,1,0,0
SP1,22/10/16,Sociedad,Alaves,3,0,H,1,0,H,16,10,5,3,4,2,17,20,3,5,0,0
SP1,22/10/16,Valencia,Barcelona,2,3,A,0,1,A,7,15,4,8,3,1,15,13,5,4,0,0
SP1,23/10/16,Celta,La Coruna,4,1,H,1,1,D,9,11,7,1,5,4,17,15,3,5,0,0
SP1,23/10/16,Malaga,Leganes,4,0,H,2,0,H,24,14,8,5,5,8,12,15,1,3,0,0
SP1,23/10/16,Real Madrid,Ath Bilbao,2,1,H,1,1,D,24,10,8,3,6,4,10,17,2,3,0,0
SP1,23/10/16,Sevilla,Ath Madrid,1,0,H,0,0,D,12,9,5,3,4,5,15,11,4,2,0,1
SP1,23/10/16,Villarreal,Las Palmas,2,1,H,0,1,A,14,8,4,4,2,1,16,12,2,3,0,0
SP1,28/10/16,Leganes,Sociedad,0,2,A,0,1,A,7,9,4,5,1,4,19,15,5,2,0,0
SP1,29/10/16,Alaves,Real Madrid,1,4,A,1,2,A,8,15,3,5,4,3,15,6,5,1,0,0
SP1,29/10/16,Ath Madrid,Malaga,4,2,H,3,1,H,16,6,7,3,6,2,10,10,2,4,1,1
SP1,29/10/16,Barcelona,Granada,1,0,H,0,0,D,15,1,5,0,8,1,7,17,1,4,0,0
SP1,29/10/16,Sp Gijon,Sevilla,1,1,D,1,1,D,9,20,5,6,3,4,17,9,6,2,0,0
SP1,30/10/16,Ath Bilbao,Osasuna,1,1,D,1,1,D,18,7,4,3,9,2,10,11,2,1,0,0
SP1,30/10/16,Betis,Espanol,0,1,A,0,0,D,13,10,5,5,8,3,15,15,3,3,0,0
SP1,30/10/16,Eibar,Villarreal,2,1,H,0,1,A,13,6,9,1,3,7,16,16,2,3,0,0
SP1,30/10/16,Las Palmas,Celta,3,3,D,0,3,A,17,9,8,6,8,1,13,22,2,6,0,1
SP1,31/10/16,La Coruna,Valencia,1,1,D,1,0,H,16,10,4,3,5,6,14,21,1,5,0,0
SP1,04/11/16,Malaga,Sp Gijon,3,2,H,1,1,D,22,7,7,4,9,2,12,20,5,4,0,1
SP1,05/11/16,Granada,La Coruna,1,1,D,0,0,D,14,13,6,5,7,6,11,7,1,2,0,0
SP1,05/11/16,Las Palmas,Eibar,1,0,H,0,0,D,16,13,6,5,7,4,10,20,1,4,0,0
SP1,05/11/16,Osasuna,Alaves,0,1,A,0,0,D,10,12,4,3,3,4,18,10,5,2,0,0
SP1,05/11/16,Sociedad,Ath Madrid,2,0,H,0,0,D,12,9,3,2,6,6,18,20,2,4,0,0
SP1,06/11/16,Celta,Valencia,2,1,H,1,1,D,7,13,4,4,4,3,19,15,6,1,0,0
SP1,06/11/16,Espanol,Ath Bilbao,0,0,D,0,0,D,6,4,3,0,5,3,13,11,1,2,0,0
SP1,06/11/16,Real Madrid,Leganes,3,0,H,2,0,H,17,7,7,3,2,2,7,20,3,5,0,0
SP1,06/11/16,Sevilla,Barcelona,1,2,A,1,1,D,15,14,4,7,3,5,18,12,4,6,0,0
SP1,06/11/16,Villarreal,Betis,2,0,H,1,0,H,15,7,7,3,10,1,16,12,0,2,0,0
