Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,05/08/2022,19:30,Ein Frankfurt,Bayern Munich,1,6,A,0,5,A,8,23,2,10,5,6,10,11,2,0,0,0
D1,06/08/2022,14:30,Augsburg,Freiburg,0,4,A,0,0,D,10,19,2,7,5,8,13,13,0,0,0,0
D1,06/08/2022,14:30,Bochum,Mainz,1,2,A,1,1,D,16,13,3,6,3,5,11,16,2,3,0,0
D1,06/08/2022,14:30,M'gladbach,Hoffenheim,3,1,H,1,1,D,18,2,8,1,4,2,18,12,1,4,0,1
D1,06/08/2022,14:30,Union Berlin,Hertha,3,1,H,1,0,H,18,9,8,3,5,4,23,17,2,3,0,0
D1,06/08/2022,14:30,Wolfsburg,Werder Bremen,2,2,D,1,2,A,13,10,3,5,2,5,11,14,2,2,0,0
D1,06/08/2022,17:30,Dortmund,Leverkusen,1,0,H,1,0,H,13,8,4,3,3,3,14,13,2,4,0,1
D1,07/08/2022,14:30,Stuttgart,RB Leipzig,1,1,D,1,1,D,11,27,2,9,1,9,14,9,2,1,0,0
D1,07/08/2022,16:30,FC Koln,Schalke 04,3,1,H,0,0,D,30,6,10,2,9,1,8,10,0,1,0,1
D1,12/08/2022,19:30,Freiburg,Dortmund,1,3,A,1,0,H,16,16,7,7,9,2,16,10,1,3,0,0
D1,13/08/2022,14:30,Hertha,Ein Frankfurt,1,1,D,1,0,H,11,11,5,1,4,5,11,11,3,1,0,0
D1,13/08/2022,14:30,Hoffenheim,Bochum,3,2,H,2,2,D,24,11,13,5,8,2,13,10,1,1,0,0
D1,13/08/2022,14:30,Leverkusen,Augsburg,1,2,A,1,1,D,23,6,10,4,7,3,7,16,1,6,0,0
D1,13/08/2022,14:30,RB Leipzig,FC Koln,2,2,D,1,1,D,9,12,5,3,2,7,8,18,1,4,1,0
D1,13/08/2022,14:30,Werder Bremen,Stuttgart,2,2,D,1,1,D,5,14,3,7,2,5,6,10,4,2,0,0
D1,13/08/2022,17:30,Schalke 04,M'gladbach,2,2,D,1,0,H,14,14,5,9,2,7,12,8,4,2,0,0
D1,14/08/2022,14:30,Mainz,Union Berlin,0,0,D,0,0,D,10,10,5,2,4,4,9,14,1,0,0,0
D1,14/08/2022,16:30,Bayern Munich,Wolfsburg,2,0,H,2,0,H,24,7,8,1,8,4,7,10,2,1,0,0
D1,19/08/2022,19:30,M'gladbach,Hertha,1,0,H,1,0,H,11,18,6,5,5,5,7,11,1,2,0,1
D1,20/08/2022,14:30,Augsburg,Mainz,1,2,A,1,1,D,6,14,2,7,3,3,13,19,2,2,0,0
D1,20/08/2022,14:30,Dortmund,Werder Bremen,2,3,A,1,0,H,5,14,3,7,3,5,13,9,4,1,0,0
D1,20/08/2022,14:30,Leverkusen,Hoffenheim,0,3,A,0,2,A,14,10,3,5,3,1,15,18,1,4,0,0
D1,20/08/2022,14:30,Stuttgart,Freiburg,0,1,A,0,1,A,18,9,5,3,3,1,8,12,4,2,0,0
D1,20/08/2022,14:30,Wolfsburg,Schalke 04,0,0,D,0,0,D,16,9,6,2,12,4,13,10,1,3,0,0
D1,20/08/2022,17:30,Union Berlin,RB Leipzig,2,1,H,2,0,H,9,16,4,2,1,13,14,8,2,1,0,0
D1,21/08/2022,14:30,Ein Frankfurt,FC Koln,1,1,D,0,0,D,10,6,3,2,5,9,15,11,0,1,0,0
D1,21/08/2022,16:30,Bochum,Bayern Munich,0,7,A,0,4,A,13,22,7,12,5,5,10,6,1,0,0,0
D1,26/08/2022,19:30,Freiburg,Bochum,1,0,H,0,0,D,28,15,12,5,2,5,15,13,2,2,0,0
D1,27/08/2022,14:30,Hertha,Dortmund,0,1,A,0,1,A,12,24,3,7,6,10,8,9,1,0,0,0
D1,27/08/2022,14:30,Hoffenheim,Augsburg,1,0,H,1,0,H,24,12,6,1,4,6,14,9,1,1,0,0
D1,27/08/2022,14:30,Mainz,Leverkusen,0,3,A,0,3,A,17,7,3,5,3,4,10,12,1,6,0,2
D1,27/08/2022,14:30,RB Leipzig,Wolfsburg,2,0,H,1,0,H,16,9,7,4,8,4,20,15,3,3,0,0
D1,27/08/2022,14:30,Schalke 04,Union Berlin,1,6,A,1,3,A,12,12,4,7,8,2,9,11,1,0,0,0
D1,27/08/2022,17:30,Bayern Munich,M'gladbach,1,1,D,0,1,A,35,5,20,3,14,1,14,7,4,2,0,0
D1,28/08/2022,14:30,FC Koln,Stuttgart,0,0,D,0,0,D,6,13,2,5,6,8,14,12,2,2,0,1
D1,28/08/2022,16:30,Werder Bremen,Ein Frankfurt,3,4,A,2,3,A,10,12,4,7,5,7,17,17,1,3,0,0
D1,02/09/2022,19:30,Dortmund,Hoffenheim,1,0,H,1,0,H,16,7,5,2,5,8,14,15,3,4,0,0
D1,03/09/2022,14:30,Bochum,Werder Bremen,0,2,A,0,0,D,19,16,6,6,7,3,15,10,2,2,0,0
D1,03/09/2022,14:30,Leverkusen,Freiburg,2,3,A,1,0,H,15,5,6,3,8,4,15,10,2,2,0,0
D1,03/09/2022,14:30,Stuttgart,Schalke 04,1,1,D,1,1,D,13,13,3,4,5,7,11,10,4,2,1,0
D1,03/09/2022,14:30,Union Berlin,Bayern Munich,1,1,D,1,1,D,10,21,3,6,5,7,19,7,1,2,0,0
D1,03/09/2022,14:30,Wolfsburg,FC Koln,2,4,A,1,3,A,9,18,3,5,5,4,13,14,2,1,0,0
D1,03/09/2022,17:30,Ein Frankfurt,RB Leipzig,4,0,H,2,0,H,14,5,9,0,4,3,14,10,1,1,0,0
D1,04/09/2022,14:30,Augsburg,Hertha,0,2,A,0,0,D,8,16,2,6,5,1,12,15,2,1,0,0
D1,04/09/2022,16:30,M'gladbach,Mainz,0,1,A,0,0,D,13,12,3,5,4,8,8,15,1,4,1,0
D1,09/09/2022,19:30,Werder Bremen,Augsburg,0,1,A,0,0,D,11,14,6,5,3,7,12,12,4,5,0,0
D1,10/09/2022,14:30,Bayern Munich,Stuttgart,2,2,D,1,0,H,18,8,7,3,3,0,11,9,2,5,0,0
D1,10/09/2022,14:30,Ein Frankfurt,Wolfsburg,0,1,A,0,0,D,11,6,0,3,10,5,16,13,2,4,0,0
D1,10/09/2022,14:30,Hertha,Leverkusen,2,2,D,0,0,D,17,11,6,5,3,5,15,16,3,1,0,0
D1,10/09/2022,14:30,Hoffenheim,Mainz,4,1,H,0,0,D,21,10,9,2,7,5,9,13,3,2,0,1
D1,10/09/2022,14:30,RB Leipzig,Dortmund,3,0,H,2,0,H,14,4,5,0,5,8,12,6,2,1,0,0
D1,10/09/2022,17:30,Schalke 04,Bochum,3,1,H,1,0,H,20,9,8,2,3,8,12,16,2,3,0,0
D1,11/09/2022,14:30,FC Koln,Union Berlin,0,1,A,0,1,A,7,12,2,3,7,8,15,12,4,1,1,0
D1,11/09/2022,16:30,Freiburg,M'gladbach,0,0,D,0,0,D,13,14,8,5,7,6,13,6,1,1,0,0
D1,16/09/2022,19:30,Mainz,Hertha,1,1,D,0,1,A,12,4,2,2,4,3,12,10,3,5,0,0
D1,17/09/2022,14:30,Augsburg,Bayern Munich,1,0,H,0,0,D,9,21,4,7,2,8,16,9,3,1,0,0
D1,17/09/2022,14:30,Dortmund,Schalke 04,1,0,H,0,0,D,19,3,7,0,11,2,12,14,3,2,0,0
D1,17/09/2022,14:30,Leverkusen,Werder Bremen,1,1,D,0,0,D,19,19,7,7,9,6,5,14,2,3,0,0
