date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2020-09-12 11:30:00,Fulham,Arsenal,0,3,A,0.126327,2.16287,EPL,2021
2020-09-12 14:00:00,Crystal Palace,Southampton,1,0,H,1.39569,1.26267,EPL,2021
2020-09-12 16:30:00,Liverpool,Leeds,4,3,H,3.15412,0.269813,EPL,2021
2020-09-12 19:00:00,West Ham,Newcastle United,0,2,A,0.861445,1.65911,EPL,2021
2020-09-13 13:00:00,West Bromwich Albion,Leicester,0,3,A,0.352997,2.95581,EPL,2021
2020-09-13 15:30:00,Tottenham,Everton,0,1,A,0.822944,1.26793,EPL,2021
2020-09-14 17:00:00,Sheffield United,Wolverhampton Wanderers,0,2,A,0.949316,1.61307,EPL,2021
2020-09-14 19:15:00,Brighton,Chelsea,1,3,A,1.44281,1.27062,EPL,2021
2020-09-19 11:30:00,Everton,West Bromwich Albion,5,2,H,4.16254,0.315347,EPL,2021
2020-09-19 14:00:00,Leeds,Fulham,4,3,H,1.45254,1.55503,EPL,2021
2020-09-19 16:30:00,Manchester United,Crystal Palace,1,3,A,1.09737,1.91456,EPL,2021
2020-09-19 19:00:00,Arsenal,West Ham,2,1,H,1.32902,2.06377,EPL,2021
2020-09-20 11:00:00,Southampton,Tottenham,2,5,A,2.27708,2.28004,EPL,2021
2020-09-20 13:00:00,Newcastle United,Brighton,0,3,A,0.520678,1.8766,EPL,2021
2020-09-20 15:30:00,Chelsea,Liverpool,0,2,A,0.904183,2.25211,EPL,2021
2020-09-20 18:00:00,Leicester,Burnley,4,2,H,0.987365,1.52404,EPL,2021
2020-09-21 17:00:00,Aston Villa,Sheffield United,1,0,H,0.80527,0.849709,EPL,2021
2020-09-21 19:15:00,Wolverhampton Wanderers,Manchester City,1,3,A,0.727677,2.07651,EPL,2021
2020-09-26 11:30:00,Brighton,Manchester United,2,3,A,2.97659,1.57583,EPL,2021
2020-09-26 14:00:00,Crystal Palace,Everton,1,2,A,0.443115,2.27189,EPL,2021
2020-09-26 16:30:00,West Bromwich Albion,Chelsea,3,3,D,0.911185,2.36046,EPL,2021
2020-09-26 19:00:00,Burnley,Southampton,0,1,A,0.347136,0.706632,EPL,2021
2020-09-27 11:00:00,Sheffield United,Leeds,0,1,A,1.53278,1.46641,EPL,2021
2020-09-27 13:00:00,Tottenham,Newcastle United,1,1,D,3.18765,0.942726,EPL,2021
2020-09-27 15:30:00,Manchester City,Leicester,2,5,A,1.44633,2.86721,EPL,2021
2020-09-27 18:00:00,West Ham,Wolverhampton Wanderers,4,0,H,3.05703,0.385152,EPL,2021
2020-09-28 17:00:00,Fulham,Aston Villa,0,3,A,0.534675,2.03222,EPL,2021
2020-09-28 19:15:00,Liverpool,Arsenal,3,1,H,2.73834,1.17817,EPL,2021
2020-10-03 11:30:00,Chelsea,Crystal Palace,4,0,H,2.51433,0.103249,EPL,2021
2020-10-03 14:00:00,Everton,Brighton,4,2,H,2.34034,1.16568,EPL,2021
2020-10-03 16:30:00,Leeds,Manchester City,1,1,D,2.56662,1.41533,EPL,2021
2020-10-03 19:00:00,Newcastle United,Burnley,3,1,H,1.95629,0.438849,EPL,2021
