date,home_team,away_team,home_goals,away_goals,result,xg_home,xg_away,league,season_code
2023-08-18 18:30:00,Werder Bremen,Bayern Munich,0,4,A,0.63974,2.89704,Bundesliga,2324
2023-08-19 13:30:00,Bayer Leverkusen,RasenBallsport Leipzig,3,2,H,1.73279,1.60393,Bundesliga,2324
2023-08-19 13:30:00,Wolfsburg,FC Heidenheim,2,0,H,3.21449,1.17776,Bundesliga,2324
2023-08-19 13:30:00,Hoffenheim,Freiburg,1,2,A,1.67186,3.24821,Bundesliga,2324
2023-08-19 13:30:00,Augsburg,Borussia M.Gladbach,4,4,D,2.53482,1.91849,Bundesliga,2324
2023-08-19 13:30:00,VfB Stuttgart,Bochum,5,0,H,3.98664,0.669108,Bundesliga,2324
2023-08-19 16:30:00,Borussia Dortmund,FC Cologne,1,0,H,1.72317,1.51393,Bundesliga,2324
2023-08-20 13:30:00,Union Berlin,Mainz 05,4,1,H,2.11281,2.51995,Bundesliga,2324
2023-08-20 15:30:00,Eintracht Frankfurt,Darmstadt,1,0,H,1.2399,0.813333,Bundesliga,2324
2023-08-25 18:30:00,RasenBallsport Leipzig,VfB Stuttgart,5,1,H,2.0934,1.18326,Bundesliga,2324
2023-08-26 13:30:00,Freiburg,Werder Bremen,1,0,H,1.71877,0.696983,Bundesliga,2324
2023-08-26 13:30:00,FC Cologne,Wolfsburg,1,2,A,0.64301,2.26952,Bundesliga,2324
2023-08-26 13:30:00,Bochum,Borussia Dortmund,1,1,D,1.01164,1.17241,Bundesliga,2324
2023-08-26 13:30:00,FC Heidenheim,Hoffenheim,2,3,A,2.72999,2.75768,Bundesliga,2324
2023-08-26 13:30:00,Darmstadt,Union Berlin,1,4,A,2.59994,1.6379,Bundesliga,2324
2023-08-26 16:30:00,Borussia M.Gladbach,Bayer Leverkusen,0,3,A,1.76423,3.65301,Bundesliga,2324
2023-08-27 13:30:00,Mainz 05,Eintracht Frankfurt,1,1,D,1.44234,1.15731,Bundesliga,2324
2023-08-27 15:30:00,Bayern Munich,Augsburg,3,1,H,2.82296,0.726241,Bundesliga,2324
2023-09-01 18:30:00,Borussia Dortmund,FC Heidenheim,2,2,D,2.74794,2.09517,Bundesliga,2324
2023-09-02 13:30:00,Bayer Leverkusen,Darmstadt,5,1,H,3.42599,0.681851,Bundesliga,2324
2023-09-02 13:30:00,Hoffenheim,Wolfsburg,3,1,H,1.78689,1.4154,Bundesliga,2324
2023-09-02 13:30:00,Werder Bremen,Mainz 05,4,0,H,3.01318,0.65805,Bundesliga,2324
2023-09-02 13:30:00,Augsburg,Bochum,2,2,D,1.88106,1.86494,Bundesliga,2324
2023-09-02 13:30:00,VfB Stuttgart,Freiburg,5,0,H,2.09598,1.50372,Bundesliga,2324
2023-09-02 16:30:00,Borussia M.Gladbach,Bayern Munich,1,2,A,0.201237,2.14949,Bundesliga,2324
