Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,13/08/2021,19:30,M'gladbach,Bayern Munich,1,1,D,1,1,D,11,20,5,10,3,8,7,4,2,0,0,0
D1,14/08/2021,14:30,Augsburg,Hoffenheim,0,4,A,0,1,A,7,15,0,8,6,5,8,9,1,2,0,0
D1,14/08/2021,14:30,Bielefeld,Freiburg,0,0,D,0,0,D,10,14,4,6,4,9,13,10,3,4,0,0
D1,14/08/2021,14:30,Stuttgart,Greuther Furth,5,1,H,2,0,H,30,8,15,4,9,2,11,8,0,1,0,0
D1,14/08/2021,14:30,Union Berlin,Leverkusen,1,1,D,1,1,D,8,16,5,4,1,6,13,5,0,1,0,0
D1,14/08/2021,14:30,Wolfsburg,Bochum,1,0,H,1,0,H,21,7,9,1,5,2,9,7,0,2,0,1
D1,14/08/2021,17:30,Dortmund,Ein Frankfurt,5,2,H,3,1,H,12,12,7,3,7,3,5,14,0,0,0,0
D1,15/08/2021,14:30,Mainz,RB Leipzig,1,0,H,1,0,H,7,15,2,2,5,11,10,8,1,2,0,0
D1,15/08/2021,16:30,FC Koln,Hertha,3,1,H,1,1,D,15,11,5,5,4,5,18,14,4,2,0,0
D1,20/08/2021,19:30,RB Leipzig,Stuttgart,4,0,H,1,0,H,26,11,11,5,6,2,10,11,0,3,0,0
D1,21/08/2021,14:30,Bochum,Mainz,2,0,H,1,0,H,9,16,5,3,2,7,15,19,4,3,0,0
D1,21/08/2021,14:30,Ein Frankfurt,Augsburg,0,0,D,0,0,D,20,4,5,0,6,1,8,10,3,3,0,0
D1,21/08/2021,14:30,Freiburg,Dortmund,2,1,H,1,0,H,8,19,4,2,0,10,14,14,1,4,0,0
D1,21/08/2021,14:30,Greuther Furth,Bielefeld,1,1,D,0,1,A,20,9,5,2,5,0,12,15,4,2,0,1
D1,21/08/2021,14:30,Hertha,Wolfsburg,1,2,A,0,0,D,12,12,4,3,4,4,12,21,1,2,0,0
D1,21/08/2021,17:30,Leverkusen,M'gladbach,4,0,H,2,0,H,13,11,6,6,7,3,9,11,4,2,0,0
D1,22/08/2021,14:30,Hoffenheim,Union Berlin,2,2,D,2,1,H,7,11,3,8,6,5,8,11,1,3,0,1
D1,22/08/2021,16:30,Bayern Munich,FC Koln,3,2,H,0,0,D,18,10,6,3,3,4,14,10,1,1,0,0
D1,27/08/2021,19:30,Dortmund,Hoffenheim,3,2,H,0,0,D,23,9,13,5,4,7,9,12,2,3,0,0
D1,28/08/2021,14:30,Augsburg,Leverkusen,1,4,A,1,2,A,13,13,4,5,4,4,12,10,0,1,0,0
D1,28/08/2021,14:30,Bielefeld,Ein Frankfurt,1,1,D,0,1,A,14,12,5,3,4,4,13,17,0,3,0,0
D1,28/08/2021,14:30,FC Koln,Bochum,2,1,H,0,0,D,21,10,5,1,5,5,11,21,2,1,0,0
