Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,31/10/2020,14:30,Ein Frankfurt,Werder Bremen,1,1,D,0,0,D,14,9,5,4,5,3,12,14,1,3,0,0
D1,31/10/2020,14:30,FC Koln,Bayern Munich,1,2,A,0,2,A,9,7,2,5,5,1,12,13,1,2,0,0
D1,31/10/2020,17:30,M'gladbach,RB Leipzig,1,0,H,0,0,D,5,15,4,3,2,4,13,17,2,4,0,0
D1,01/11/2020,14:30,Freiburg,Leverkusen,2,4,A,1,2,A,8,18,5,7,4,6,10,11,2,2,0,0
D1,01/11/2020,17:00,Hertha,Wolfsburg,1,1,D,1,1,D,18,11,5,4,8,6,8,15,3,1,0,0
D1,02/11/2020,19:30,Hoffenheim,Union Berlin,1,3,A,0,0,D,10,9,5,6,3,6,19,13,1,2,1,0
D1,06/11/2020,19:30,Werder Bremen,FC Koln,1,1,D,0,0,D,18,8,4,1,1,3,20,20,2,2,0,0
D1,07/11/2020,14:30,Augsburg,Hertha,0,3,A,0,1,A,10,12,2,6,2,6,12,10,3,0,0,0
D1,07/11/2020,14:30,Mainz,Schalke 04,2,2,D,2,1,H,14,22,7,3,4,9,19,13,1,1,0,0
D1,07/11/2020,14:30,RB Leipzig,Freiburg,3,0,H,1,0,H,15,8,7,3,3,4,14,14,2,3,0,0
D1,07/11/2020,14:30,Stuttgart,Ein Frankfurt,2,2,D,2,0,H,16,15,5,8,10,8,14,16,2,4,0,0
D1,07/11/2020,14:30,Union Berlin,Bielefeld,5,0,H,3,0,H,9,5,8,1,5,1,17,9,0,1,0,0
D1,07/11/2020,17:30,Dortmund,Bayern Munich,2,3,A,1,1,D,15,16,5,8,4,3,15,7,2,2,0,0
D1,08/11/2020,14:30,Wolfsburg,Hoffenheim,2,1,H,2,0,H,14,17,8,5,3,7,15,14,1,3,0,0
D1,08/11/2020,17:00,Leverkusen,M'gladbach,4,3,H,2,2,D,15,15,5,6,6,2,15,12,4,2,0,0
D1,21/11/2020,14:30,Bayern Munich,Werder Bremen,1,1,D,0,1,A,15,9,3,4,7,3,10,10,1,3,0,0
D1,21/11/2020,14:30,Bielefeld,Leverkusen,1,2,A,0,1,A,1,10,1,4,0,10,6,10,0,1,0,0
D1,21/11/2020,14:30,Hoffenheim,Stuttgart,3,3,D,1,2,A,13,20,8,9,3,4,15,18,3,2,0,0
D1,21/11/2020,14:30,M'gladbach,Augsburg,1,1,D,1,0,H,15,10,6,5,2,1,7,12,1,4,0,1
D1,21/11/2020,14:30,Schalke 04,Wolfsburg,0,2,A,0,2,A,13,19,6,8,6,4,12,11,0,1,0,0
D1,21/11/2020,17:30,Ein Frankfurt,RB Leipzig,1,1,D,1,0,H,8,10,3,3,5,6,18,12,3,2,0,0
D1,21/11/2020,19:30,Hertha,Dortmund,2,5,A,1,0,H,9,15,3,8,4,3,12,17,1,1,0,0
D1,22/11/2020,14:30,Freiburg,Mainz,1,3,A,0,3,A,19,22,6,8,9,4,6,12,0,1,0,0
D1,22/11/2020,17:00,FC Koln,Union Berlin,1,2,A,1,1,D,10,10,4,3,5,4,12,15,1,2,0,0
D1,27/11/2020,19:30,Wolfsburg,Werder Bremen,5,3,H,3,2,H,12,5,6,4,0,5,12,12,2,3,0,1
D1,28/11/2020,14:30,Augsburg,Freiburg,1,1,D,0,0,D,10,10,2,5,4,1,15,8,3,1,0,0
D1,28/11/2020,14:30,Dortmund,FC Koln,1,2,A,0,1,A,14,7,4,5,6,2,11,10,1,2,0,0
D1,28/11/2020,14:30,RB Leipzig,Bielefeld,2,1,H,1,0,H,15,13,7,3,6,7,13,15,2,2,0,0
D1,28/11/2020,14:30,Stuttgart,Bayern Munich,1,3,A,1,2,A,15,14,4,6,4,3,11,13,0,0,0,0
D1,28/11/2020,14:30,Union Berlin,Ein Frankfurt,3,3,D,2,2,D,15,12,7,5,4,5,12,16,2,3,0,0
D1,28/11/2020,17:30,M'gladbach,Schalke 04,4,1,H,2,1,H,19,13,9,2,5,4,8,14,2,3,0,0
D1,29/11/2020,14:30,Leverkusen,Hertha,0,0,D,0,0,D,14,5,2,3,6,1,16,19,2,1,0,0
D1,29/11/2020,17:00,Mainz,Hoffenheim,1,1,D,1,0,H,10,9,4,5,11,5,16,10,0,0,0,1
D1,04/12/2020,19:30,Hertha,Union Berlin,3,1,H,0,1,A,10,4,7,1,9,2,15,9,1,3,0,1
D1,05/12/2020,14:30,Bielefeld,Mainz,2,1,H,2,0,H,11,15,5,5,2,3,16,18,3,2,0,0
D1,05/12/2020,14:30,Ein Frankfurt,Dortmund,1,1,D,1,0,H,9,16,1,5,6,5,14,6,6,1,0,0
D1,05/12/2020,14:30,FC Koln,Wolfsburg,2,2,D,2,1,H,6,16,3,6,3,8,12,11,0,1,0,0
D1,05/12/2020,14:30,Freiburg,M'gladbach,2,2,D,1,1,D,22,11,7,4,5,5,12,19,1,2,0,0
D1,05/12/2020,17:30,Bayern Munich,RB Leipzig,3,3,D,2,2,D,10,8,6,4,10,2,5,8,0,1,0,0
D1,06/12/2020,14:30,Werder Bremen,Stuttgart,1,2,A,0,1,A,14,11,4,7,2,4,10,15,4,4,0,0
D1,06/12/2020,17:00,Schalke 04,Leverkusen,0,3,A,0,1,A,13,24,4,9,2,8,17,11,2,3,0,0
D1,07/12/2020,19:30,Hoffenheim,Augsburg,3,1,H,1,1,D,10,13,7,3,4,3,15,9,0,1,0,0
D1,11/12/2020,19:30,Wolfsburg,Ein Frankfurt,2,1,H,0,0,D,16,7,8,4,8,1,10,12,5,2,0,0
D1,12/12/2020,14:30,Dortmund,Stuttgart,1,5,A,1,1,D,12,18,4,10,8,2,11,13,2,3,0,0
D1,12/12/2020,14:30,Freiburg,Bielefeld,2,0,H,0,0,D,16,5,7,1,5,4,16,13,3,0,0,0
D1,12/12/2020,14:30,Mainz,FC Koln,0,1,A,0,0,D,15,9,4,6,5,3,15,11,4,4,0,1
D1,12/12/2020,14:30,M'gladbach,Hertha,1,1,D,0,0,D,17,9,4,3,13,2,9,18,3,2,0,0
D1,12/12/2020,14:30,RB Leipzig,Werder Bremen,2,0,H,2,0,H,15,7,7,2,1,6,17,12,3,1,0,0
D1,12/12/2020,17:30,Union Berlin,Bayern Munich,1,1,D,1,0,H,13,15,6,5,4,7,17,8,3,2,0,0
D1,13/12/2020,14:30,Augsburg,Schalke 04,2,2,D,1,0,H,8,15,4,4,2,3,17,13,3,4,1,0
D1,13/12/2020,17:00,Leverkusen,Hoffenheim,4,1,H,2,0,H,13,11,8,4,6,5,12,13,3,6,0,2
D1,15/12/2020,17:30,Ein Frankfurt,M'gladbach,3,3,D,3,1,H,11,8,4,4,4,5,18,15,6,4,1,0
D1,15/12/2020,19:30,Hertha,Mainz,0,0,D,0,0,D,9,5,0,0,5,4,17,11,3,1,0,0
D1,15/12/2020,19:30,Stuttgart,Union Berlin,2,2,D,0,1,A,13,15,6,6,2,3,15,14,3,3,0,0
D1,15/12/2020,19:30,Werder Bremen,Dortmund,1,2,A,1,1,D,7,15,3,9,4,4,10,13,3,2,0,0
